;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 18 MINISTERIO DE EDUCACIÓN, FORMACIÓN PROFESIONAL Y DEPORTES;
;Programa: 33ZC C26.I03 Plan Social del Sector Deporte;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;18.106;;Total;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;4.000,00;;4.000,00;
29; Gastos corrientes en bienes y servicios. Mecanismo de Recuperación y Resiliencia;4.000,00;;4.000,00;
4;TRANSFERENCIAS CORRIENTES;6.240,00;;6.240,00;
48; A familias e instituciones sin fines de lucro;6.240,00;;6.240,00;
7;TRANSFERENCIAS DE CAPITAL;5.760,00;;5.760,00;
75; A Comunidades Autónomas;4.000,00;;4.000,00;
78; A familias e instituciones sin fines de lucro;1.760,00;;1.760,00;
;TOTAL;16.000,00;;16.000,00;
;;



