;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 17 MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE;
;Programa: 455O Comisión de Investigación de Accidentes e Incidentes de Aviación Civil;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
17.01;;MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;;;
;1;GASTOS DE PERSONAL;;;
;12;Funcionarios;;978,30;
;13;Laborales;;24,74;
;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;91,00;
;16000; Seguridad Social;91,00;;
;;TOTAL GASTOS DE PERSONAL;;1.094,04;
 ; ;;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;22;Material, suministros y otros;;20,00;
;23;Indemnizaciones por razón del servicio;;78,59;
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;98,59;
 ; ;;;;
;6;INVERSIONES REALES;;570,22;
 ; ;;;;
;;TOTAL MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;;1.762,85;
 ; ;;;;
 ; ;;;;
;;TOTAL Comisión de Investigación de Accidentes e Incidentes de Aviación Civil;;1.762,85;
;;



