;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 18 MINISTERIO DE EDUCACIÓN, FORMACIÓN PROFESIONAL Y DEPORTES;
;Programa: 321M Dirección y Servicios Generales de Educación, Formación Profesional y Deportes;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;18.01;18.02;18.03;18.04;18.05;18.08;;;Total;
1;GASTOS DE PERSONAL;52.126,28;5.026,18;1.555,59;2.600,85;443,39;2.687,07;;;64.439,36;
10; Altos cargos;208,56;61,04;141,34;61,04;71,16;61,04;;;604,18;
11; Personal eventual;510,99;;253,05;;;;;;764,04;
12; Funcionarios;34.431,84;4.163,05;1.117,89;2.394,40;372,23;2.547,29;;;45.026,70;
13; Laborales;7.166,08;530,90;;;;33,08;;;7.730,06;
15; Incentivos al rendimiento;4.762,38;;;;;;;;4.762,38;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;5.046,43;271,19;43,31;145,41;;45,66;;;5.552,00;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;8.735,24;854,08;528,00;623,52;511,82;3.451,32;;;14.703,98;
20; Arrendamientos y cánones;104,00;;;;;;;;104,00;
21; Reparaciones, mantenimiento y conservación;1.519,86;;;;;144,02;;;1.663,88;
22; Material, suministros y otros;6.210,88;733,10;287,74;462,87;271,56;2.769,67;;;10.735,82;
23; Indemnizaciones por razón del servicio;900,50;20,98;240,26;160,65;240,26;537,63;;;2.100,28;
24; Gastos de publicaciones;;100,00;;;;;;;100,00;
3;GASTOS FINANCIEROS;285,26;;;;;;;;285,26;
35; Intereses de demora y otros gastos financieros;285,26;;;;;;;;285,26;
4;TRANSFERENCIAS CORRIENTES;;138,00;339,00;;;;;;477,00;
44; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;;;175,00;;;;;;175,00;
48; A familias e instituciones sin fines de lucro;;138,00;161,00;;;;;;299,00;
49; Al exterior;;;3,00;;;;;;3,00;
6;INVERSIONES REALES;4.583,05;101,00;;;;;;;4.684,05;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;850,00;65,00;;;;;;;915,00;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;2.823,97;;;;;;;;2.823,97;
64; Gastos de inversiones de carácter inmaterial;909,08;36,00;;;;;;;945,08;
8;ACTIVOS FINANCIEROS;86,06;;;;;;;;86,06;
83; Concesión de préstamos fuera del Sector Público;86,06;;;;;;;;86,06;
;TOTAL;65.815,89;6.119,26;2.422,59;3.224,37;955,21;6.138,39;;;84.675,71;
;;



