Económica;Explicación;Orgánica;Total (miles  euros);Total (euros)
44;A entidades del Sector Público Estatal (SEITTSA);17.20;800;800.000,00
443;Compensación a SEITTSA por modificación de tarifas;17.20;800;800.000,00
45;A Comunidades Autónomas (Xunta de Galicia);17.20;350;350.000,00
457;Subvenciones a Comunidades Autónomas;17.20;350;350.000,00
45700;Subvención directa a Xunta de Galicia (AG-55);17.20;350;350.000,00
47;A empresas privadas (autopistas);17.20;96.966,04;96.966.040,00
470;Compensación a concesionarias de autopistas;17.20;88.966,04;88.966.040,00
47000;AP-68 La Rioja – Exención peaje;17.20;5.300,00;5.300.000,00
47001;AP-68 Zaragoza-Gallur – Bonificaciones;17.20;1.057,54;1.057.540,00
47003;AP-68 La Rioja – Reducción peaje;17.20;1.386,65;1.386.650,00
47020;AP-66 León-Campomanes – Bonificaciones vehículos ligeros;17.20;6.272,70;6.272.700,00
47021;AP-66 León-Campomanes – Bonificaciones vehículos pesados;17.20;9.496,76;9.496.760,00
47030;AP-9 – Supresión peaje O Morrazo-Vigo y A Coruña-A Barcala;17.20;9.091,64;9.091.640,00
47031;AP-9 – Bonificaciones Ferrol-Frontera Portuguesa;17.20;56.360,25;56.360.250,00
47040;Compensación Autopista Madrid-Toledo (sentencia TS);17.20;0,5;500,00
473;Rebaja de tarifas de peaje;17.20;8.000,00;8.000.000,00
78;A familias e instituciones sin fines de lucro (Museu del Ferrocarril);17.20;1.200,00;1.200.000,00
Subtotal Secretaría de Estado;;;99.316,04;99.316.040,00
44;A entidades públicas (Renfe, Fundación Ferrocarriles);17.39;1.313.641,00;1.313.641.000,00
440;Fundación Ferrocarriles Españoles;17.39;40;40.000,00
442;Renfe Viajeros – Obligaciones de Servicio Público;17.39;1.009.000,00;1.009.000.000,00
443;Renfe Viajeros – Material rodante;17.39;1;1.000,00
445;Renfe Viajeros – Reducción de abonos;17.39;3.600,00;3.600.000,00
447;Renfe – Cercanías y regionales Cataluña;17.39;301.000,00;301.000.000,00
45;A Comunidades Autónomas (Barcelona, Canarias, Madrid, Valencia…);17.39;451.445,52;451.445.520,00
46;A Entidades Locales (Córdoba, cofinanciación urbana);17.39;54.304,74;54.304.740,00
47;A empresas privadas (ferroviarias, carretera);17.39;15.100,00;15.100.000,00
48;A familias e instituciones sin fines de lucro (bonificaciones billetes);17.39;10.200,00;10.200.000,00
49;Al exterior – Cuotas a organismos internacionales;17.39;234,59;234.590,00
74;Transferencias de capital – Fomento del uso social del transporte público;17.39;660.000,00;660.000.000,00
Subtotal Dirección General;;;2.504.925,85;2.504.925.850,00
TOTAL PROGRAMA 441M;Subvenciones y apoyo al transporte terrestre;;2.604.241,89;2.604.241.890,00
