Orgánica;Económica;Explicación;Total (miles  euros);Total (euros)
17.01;10;Altos cargos;533,52;533.520,00
17.01;11;Personal eventual;626,4;626.400,00
17.01;12;Funcionarios;37.514,75;37.514.750,00
17.01;13;Laborales;5.698,66;5.698.660,00
17.01;15;Incentivos al rendimiento;13.282,39;13.282.390,00
17.01;150;Productividad;12.436,23;12.436.230,00
17.01;151;Gratificaciones;846,16;846.160,00
17.01;16;Cuotas, prestaciones y gastos sociales del empleador;5.833,14;5.833.140,00
17.01;16000;Seguridad Social;3.845,65;3.845.650,00
17.01;16200;Formación y perfeccionamiento del personal;624,1;624.100,00
17.01;16201;Economatos y comedores;40,65;40.650,00
17.01;16204;Acción social;595,98;595.980,00
17.01;20;Arrendamientos y cánones;898,37;898.370,00
17.01;202;Arrendamientos de edificios y otras construcciones;748;748.000,00
17.01;21;Reparaciones, mantenimiento y conservación;5.433,09;5.433.090,00
17.01;22;Material, suministros y otros;11.500,09;11.500.090,00
17.01;22109;Labores Fábrica Nacional Moneda y Timbre;130;130.000,00
17.01;22502;Locales;1.765,70;1.765.700,00
17.01;22601;Atenciones protocolarias y representativas;27,21;27.210,00
17.01;23;Indemnizaciones por razón del servicio;3.301,60;3.301.600,00
17.01;35;Intereses de demora y otros gastos financieros;10,31;10.310,00
17.01;352;Intereses de demora;10,31;10.310,00
17.01;48;A familias e instituciones sin fines de lucro;1.196,77;1.196.770,00
17.01;480;Cuotas y contribuciones a organismos nacionales;61,48;61.480,00
17.01;481;Programa de formación BIM;360;360.000,00
17.01;48101;A Building Smart Spanish Chapter;60;60.000,00
17.01;482;Asociación Recreativo Cultural del MITMA;6,94;6.940,00
17.01;484;Asociación de Padres Guardería MITMA;180,25;180.250,00
17.01;485;Premio Nacional de Ingeniería Civil;31,47;31.470,00
17.01;486;Premios por jubilación;324,26;324.260,00
17.01;487;Becas de formación y perfeccionamiento;170,37;170.370,00
17.01;488;Premios Matilde Ucelay;45;45.000,00
17.01;489;Cuotas patronales de becas;17;17.000,00
17.01;49;Al exterior;68;68.000,00
17.01;492;Cuotas a organismos internacionales;68;68.000,00
17.01;6;Inversiones reales;9.622,80;9.622.800,00
17.01;76;A Entidades Locales;500;500.000,00
17.01;760;A la Fira de Barcelona – Salón del Automóvil;500;500.000,00
17.01;83;Concesión de préstamos fuera del sector público;153,78;153.780,00
17.01;830;Préstamos a corto plazo;18,78;18.780,00
17.01;831;Préstamos a largo plazo;135;135.000,00
—;—;Total 17.01 – Ministerio, Subsecretaría y Servicios Generales;96.173,67;96.173.670,00
17.02;22;Material, suministros y otros;10;10.000,00
17.02;22601;Atenciones protocolarias y representativas;2,25;2.250,00
17.02;6;Inversiones reales;1.968,00;1.968.000,00
—;—;Total 17.02 – Dirección General;1.978,00;1.978.000,00
17.03;22;Material, suministros y otros;113,3;113.300,00
17.03;22601;Atenciones protocolarias y representativas;2,25;2.250,00
17.03;24;Gastos de publicaciones;262,17;262.170,00
17.03;35;Intereses de demora y otros gastos financieros;3;3.000,00
17.03;359;Otros gastos financieros;3;3.000,00
17.03;48;A familias e instituciones sin fines de lucro;200;200.000,00
17.03;480;A la Asociación Española de Normalización (UNE);200;200.000,00
17.03;49;Al exterior;810;810.000,00
17.03;493;Cuotas a Organismos Internacionales;810;810.000,00
17.03;6;Inversiones reales;213;213.000,00
—;—;Total 17.03 – Secretaría General Técnica;1.601,47;1.601.470,00
17.20;22;Material, suministros y otros;469,08;469.080,00
17.20;22601;Atenciones protocolarias y representativas;17,99;17.990,00
17.20;35;Intereses de demora y otros gastos financieros;3.500,00;3.500.000,00
17.20;352;Intereses de demora;3.500,00;3.500.000,00
17.20;44;A entidades del Sector Público Estatal;5.620,00;5.620.000,00
17.20;441;A ENAIRE por vuelos exonerados;650;650.000,00
17.20;442;Solidaridad con Ucrania y Moldavia;4.800,00;4.800.000,00
17.20;449;Fundación Ferrocarriles Españoles – Estrategia Bicicleta;170;170.000,00
17.20;45;A Comunidades Autónomas;420;420.000,00
17.20;456;TRANSyT – Observatorio Movilidad Metropolitana;120;120.000,00
17.20;458;CIT UPC-CARNET – Centro de Investigación CIIMA;300;300.000,00
17.20;47;A empresas privadas;1.640,13;1.640.130,00
17.20;472;Autopistas del Mar España-Francia;1.640,13;1.640.130,00
17.20;47201;Autopista del Mar Gijón-Nantes;1.640,13;1.640.130,00
17.20;48;A familias e instituciones sin fines de lucro;385;385.000,00
17.20;481;Red de Ciudades por la Bicicleta (RCxB);15;15.000,00
17.20;483;Colegio de Ingenieros de Caminos – promoción ingeniería civil;200;200.000,00
17.20;484;Real Federación Española de Ciclismo (RFEC);100;100.000,00
17.20;489;Centro de Estudios de Transportes del Mediterráneo Occidental;70;70.000,00
17.20;49;Al exterior;1;1.000,00
17.20;491;Cuotas a Organismos Internacionales;1;1.000,00
17.20;6;Inversiones reales;3.900,00;3.900.000,00
17.20;74;Transferencias de capital a entidades del Sector Público Estatal;5.750,00;5.750.000,00
17.20;741;SECEGSA – Comunicación Fija Estrecho Gibraltar;750;750.000,00
17.20;749;Fundación Ferrocarriles – Estrategia Bicicleta;5.000,00;5.000.000,00
17.20;75;A Comunidades Autónomas;264.091,10;264.091.100,00
17.20;750;Cataluña – Sentencia Tribunal Supremo;200.000,00;200.000.000,00
17.20;759;Otras actuaciones del Departamento;64.091,10;64.091.100,00
17.20;76;A Entidades Locales;835;835.000,00
17.20;760;Ayuntamiento de Passaia – Casa Ciriza;300;300.000,00
17.20;762;Diputación de Pontevedra – pasarela con Portugal;100;100.000,00
17.20;763;Ajuntament de Castellar del Vallés – área de servicio;235;235.000,00
17.20;769;IFEMA – Global Mobility Call;200;200.000,00
17.20;85;Adquisición de acciones y participaciones del Sector Público;52.691,16;52.691.160,00
17.20;852;SEITTSA – Infraestructuras Transporte Terrestre;52.691,16;52.691.160,00
—;—;Total 17.20 – Secretaría de Estado de Transportes y Movilidad Sostenible;339.302,47;339.302.470,00
;;TOTAL Dirección y Servicios Generales de Transportes y Movilidad Sostenible;439.055,61;439.055.610,00
