Económica;Explicación;17.18;17.102;Total (miles  euros);Total (euros)
1;GASTOS DE PERSONAL;16.890,03;2.929,92;19.819,95;19.819.950,00
10;Altos cargos;61,04;—;61,04;61.040,00
12;Funcionarios;11.020,48;2.040,55;13.061,03;13.061.030,00
13;Laborales;3.558,51;371,23;3.929,74;3.929.740,00
15;Incentivos al rendimiento;—;252,07;252,07;252.070,00
16;Cuotas, prestaciones y gastos sociales;2.250,00;266,07;2.516,07;2.516.070,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;2.307,05;2.523,30;4.830,35;4.830.350,00
20;Arrendamientos y cánones;—;29,19;29,19;29.190,00
21;Reparaciones, mantenimiento y conservación;—;401,02;401,02;401.020,00
22;Material, suministros y otros;2.307,05;1.673;3.980,06;3.980.060,00
23;Indemnizaciones por razón del servicio;—;279,47;279,47;279.470,00
24;Gastos de publicaciones;—;140,61;140,61;140.610,00
3;GASTOS FINANCIEROS;—;12,78;12,78;12.780,00
31;De préstamos en euros;—;0,45;0,45;450,00
35;Intereses de demora y otros gastos financieros;—;12,33;12,33;12.330,00
4;TRANSFERENCIAS CORRIENTES;2.014,40;26;2.040,40;2.040.400,00
48;A familias e instituciones sin fines de lucro;618,59;26;644,59;644.590,00
49;Al exterior (cuotas a organismos internacionales);1.395,81;—;1.395,81;1.395.810,00
6;INVERSIONES REALES;11.068,94;7.839,36;18.908,30;18.908.300,00
62;Inversión nueva asociada al funcionamiento operativo;9.997,09;7.739,36;17.736,45;17.736.450,00
63;Reposición asociada al funcionamiento operativo;1.071,85;50;1.121,85;1.121.850,00
64;Gastos de inversiones de carácter inmaterial;—;50;50;50.000,00
7;TRANSFERENCIAS DE CAPITAL;350;—;350;350.000,00
75;A Comunidades Autónomas;350;—;350;350.000,00
—;TOTAL PROGRAMA 495A – Información geográfica española;32.630,42;13.331,36;45.961,78;45.961.780,00
