Capítulo Económico;Detalle;Importe (mil €);Importe (€)
1 – Gastos de Personal;Altos cargos, funcionarios, laborales, cuotas sociales;5.336,24;5.336.240,00 €
10;Altos cargos;61,04;61.040,00 €
12;Funcionarios;4.680,45;4.680.450,00 €
13;Laborales;69,75;69.750,00 €
16;Cuotas y prestaciones sociales;525;525.000,00 €
2 – Gastos Corrientes;Material, suministros, protocolo;2.275,55;2.275.550,00 €
22;Material, suministros y otros;2.275,55;2.275.550,00 €
22601;Atenciones protocolarias y representativas;2,25;2.250,00 €
4 – Transferencias Corrientes;A familias, instituciones sin ánimo de lucro y organismos internacionales;105;105.000,00 €
48;Comité Nacional del Transporte / ITS España;92;92.000,00 €
49;Cuotas a organismos internacionales;13;13.000,00 €
6 – Inversiones Reales;Infraestructura y sistemas de inspección;2.800,00;2.800.000,00 €
7 – Transferencias de Capital;A empresas privadas e instituciones sin ánimo de lucro;13.788,00;13.788.000,00 €
77;Mejora del sector del transporte por carretera;9.930,00;9.930.000,00 €
78;Apoyo a instituciones sin ánimo de lucro;3.858,00;3.858.000,00 €
—;TOTAL PROGRAMA 453M;24.304,79;24.304.790,00 €
