Económica;Explicación;14.01;14.02;14.03;14.12;14.17;14.22;14.50;Total (miles euros);Total (euros)
10;Altos cargos;1.141,90;;;;;;;1.141,90;1.141.900,00
11;Personal eventual;1.101,77;;;;;;;1.101,77;1.101.770,00
12;Funcionarios;4.459.418,76;;4.000,00;;;;;4.463.418,76;4.463.418.760,00
13;Laborales;246.495,06;;;;;;;246.495,06;246.495.060,00
14;Otro personal;58.465,22;;;;;;;58.465,22;58.465.220,00
15;Incentivos al rendimiento;180.168,06;;;;;;;180.168,06;180.168.060,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;424.689,91;;;;;;;424.689,91;424.689.910,00
20;Arrendamientos y cánones;572,38;422,85;20.944,25;408,1;132,7;2.153,10;;24.633,38;24.633.380,00
21;Reparaciones, mantenimiento y conservación;9.128,03;6.451,79;18.155,12;44.386,78;18.055,14;18.543,80;;114.720,66;114.720.660,00
22;Material, suministros y otros;59.891,77;33.878,08;359.303,90;187.227,74;72.006,50;83.431,60;;795.739,59;795.739.590,00
23;Indemnizaciones por razón del servicio;11.367,32;13.637,58;4.852,72;42.860,64;12.095,80;5.740,85;;90.554,91;90.554.910,00
24;Gastos de publicaciones;350,00;;;;;;;350;350.000,00
29;Gastos corrientes en bienes y servicios. MRR;;;;;;;500;500;500.000,00
44;A Sociedades, Entidades Públicas Empresariales, Fundaciones, etc.;13.390,88;;1,5;;;;;13.392,38;13.392.380,00
45;A Comunidades Autónomas;10.003,41;;;;;;10.000,00;20.003,41;20.003.410,00
48;A familias e instituciones sin fines de lucro;2.292,66;;6.850,00;444,54;30;46,5;;9.663,70;9.663.700,00
49;Al exterior;24,16;;116.430,20;;42,00;;;116.496,36;116.496.360,00
63;Inversión de reposición asociada al funcionamiento operativo;587,99;;;;;;;587,99;587.990,00
65;Inversiones militares en infraestructura y otros bienes;524,00;2.583,87;5.151.565,72;22.463,58;47.802,47;21.708,46;;5.246.648,10;5.246.648.100,00
66;Inversiones militares asociadas al funcionamiento operativo;1.764,01;18.940,63;312.340,08;40.302,52;29.762,20;34.424,67;;437.534,11;437.534.110,00
67;Gastos militares de inversiones de carácter inmaterial;;;27.013,24;;;;;27.013,24;27.013.240,00
69;Inversiones reales. Mecanismo de Recuperación y Resiliencia;;;;;;;157.145,33;157.145,33;157.145.330,00
71;A Organismos Autónomos;;;24.346,68;;;;;24.346,68;24.346.680,00
73;A otras entidades del Sector Público Administrativo Estatal;;;54.218,54;;;;2.947,56;57.166,10;57.166.100,00
74;A Sociedades, Fundaciones y resto del Sector Público Estatal (capital);188,00;;;;;;;188;188.000,00
83;Concesión de préstamos fuera del Sector Público;2.833,58;;;;;;;2.833,58;2.833.580,00
—;Total consolidado del Ministerio de Defensa;5.484.398,87;75.914,80;6.412.201,30;338.093,90;179.926,81;"166.048,98	";"170.592,89	";12.827.177,55;12.827.177.550,00
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
