Servicio;Programa;Económica;Explicación;Total (miles euros);Total (euros)
1;121M;10000;Retribuciones básicas funcionarios;382,93;382.930 €
1;121M;10001;Retribuciones complementarias funcionarios;758,97;758.970 €
1;121M;11000;Retribuciones básicas personal eventual;364,67;364.670 €
1;121M;11001;Retribuciones complementarias personal eventual;737,1;737.100 €
1;121M;12000–12181;Retribuciones básicas y complementarias funcionarios y tropa;1.405.777,44;1.405.777.440 €
1;121M;12201–12202;Retribuciones en especie;8.914,46;8.914.460 €
1;121M;12300–12302;Indemnizaciones por destino en el extranjero;80.478,64;80.478.640 €
1;121M;13000–131;Retribuciones laborales fijos y eventuales;71.477,70;71.477.700 €
1;121M;150–153;Incentivos al rendimiento;180.168,06;180.168.060 €
1;121M;16000;Seguridad Social;46.555,83;46.555.830 €
1;121M;16200–16209;Formación, comedores, acción social, seguros, transporte, otros;23.179,60;23.179.600 €
1;121M;—;TOTAL GASTOS DE PERSONAL;1.818.795,40;1.818.795.400 €
1;121M;202–209;Arrendamientos y cánones;560,2;560.200 €
1;121M;210–216;Reparaciones y mantenimiento;1.474,20;1.474.200 €
1;121M;220–22199;Material y suministros;34.828,87;34.828.870 €
1;121M;222–22799;Comunicaciones, transportes, seguros, tributos, gastos diversos, trabajos;10.372,32;10.372.320 €
1;121M;230–233;Indemnizaciones por razón del servicio;10.022,32;10.022.320 €
1;121M;240;Gastos de publicaciones;350;350.000 €
1;121M;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;47.235,59;47.235.590 €
1;121M;441–444;Transferencias a consorcios históricos;42;42.000 €
1;121M;48500–48505;Transferencias a organismos y asociaciones relacionadas con FAS;1.137,00;1.137.000 €
1;121M;48501;"Instituto ""Gutiérrez Mellado""";152;152.000 €
1;121M;48502;Instituto de Estudios Internacionales y Estratégicos;176;176.000,00
1;121M;486;Pensiones militares;200;200.000,00
1;121M;489;Indemnizaciones por operaciones internacionales;1;1.000,00
1;121M;49000–49018;Cuotas y contribuciones a organismos internacionales;24,16;24.160,00
1;121M;—;TOTAL TRANSFERENCIAS CORRIENTES;1.404,16;1.404.160,00
1;121M;630–660;Inversiones militares e infraestructura;1.620,69;1.620.690,00
1;121M;83108;Préstamos a largo plazo a familias e instituciones sin fines de lucro;2.833,58;2.833.580,00
1;121M;—;TOTAL ACTIVOS FINANCIEROS;2.833,58;2.833.580,00
—;—;—;TOTAL Administración y Servicios Generales de Defensa;1.871.889,42;1.871.889.420,00
1;121N;12000–12012;Retribuciones básicas funcionarios y tropa;210.175,31;210.175.310 €
1;121N;12100–12112;Retribuciones complementarias;140.216,85;140.216.850,00
1;121N;12201;Retribuciones en especie – Vestuario;3.399,93;3.399.930,00
1;121N;12302;Indemnización por navegaciones en el extranjero;1.136,36;1.136.360,00
1;121N;13000–131;Retribuciones laborales fijos y eventuales;30.900,92;30.900.920 €
1;121N;16000;Seguridad Social;39.860,34;39.860.340,00
—;—;—;TOTAL GASTOS DE PERSONAL;425.689,71;425.689.710,00
1;121N;203–205;Arrendamientos de maquinaria y mobiliario;4;4.000,00
1;121N;212–215;Reparaciones y mantenimiento;280,18;280.180,00
1;121N;22000–22112;Material, suministros y otros;3.569,47;3.569.470,00
1;121N;223;Transportes;150;150.000 €
1;121N;22602–22699;Gastos diversos;788,5;788.500,00
1;121N;22700–22799;Trabajos realizados por otras empresas;1.282,00;1.282.000,00
1;121N;231;Indemnizaciones por razón del servicio – Locomoción;1.345,00;1.345.000 €
—;—;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;5.198,65;5.198.650,00
1;121N;44001–44004;Transferencias a Centros Universitarios de la Defensa;13.348,88;13.348.880,00
1;121N;450–452;Transferencias a Comunidades Autónomas;10.003,41;10.003.410 €
1;121N;48500;Transferencias a organismos relacionados con las FAS;12,16;12.160 €
1;121N;487;Becas de estudios para personal de las FAS;392,5;392.500 €
1;121N;488;Ayudas a alumnos extranjeros en centros docentes;550;550.000,00
—;—;—;TOTAL TRANSFERENCIAS CORRIENTES;24.306,95;24.306.950,00
1;121N;74001–74004;Transferencias de capital a Centros Universitarios de la Defensa;188;188.000 €
—;—;—;TOTAL TRANSFERENCIAS DE CAPITAL;188;188.000 €
—;—;—;TOTAL Formación del Personal de las Fuerzas Armadas;455.383,31;455.383.310 €
1;121O;12000–12012;Retribuciones básicas funcionarios y tropa;317.480,68;317.480.680 €
1;121O;12100–12110;Retribuciones complementarias;201.159,90;201.159.900 €
1;121O;12201;Retribuciones en especie – Vestuario;2.893,57;2.893.570 €
1;121O;143;Otro personal;58.465,22;58.465.220 €
—;—;—;TOTAL Personal en reserva;579.999,37;
1;122M;12000–12012;Retribuciones básicas funcionarios y tropa;737.472,42;737.472.420 €
1;122M;12100–12112;Retribuciones complementarias;700.937,69;700.937.690 €
1;122M;12201;Retribuciones en especie – Vestuario;23.049,39;23.049.390,00
1;122M;12302;Indemnización por navegaciones en el extranjero;11.747,49;11.747.490 €
1;122M;13000–131;Retribuciones laborales fijos y eventuales;40.719,39;40.719.390,00
1;122M;16000;Seguridad Social;236.012,31;236.012.310,00
—;—;—;TOTAL Gastos Operativos de las Fuerzas Armadas;1.749.938,69;1.749.938.690,00
1;122N;12000–12012;Retribuciones básicas funcionarios y tropa;247.921,28;247.921.280 €
1;122N;12100–12112;Retribuciones complementarias;243.925,36;243.925.360 €
1;122N;12201–12202;Retribuciones en especie – Vestuario y bonificaciones;28.404,32;28.404.320 €
1;122N;12302;Indemnización por navegaciones en el extranjero;550,33;550.330 €
1;122N;13000–131;Retribuciones laborales fijos y eventuales;84.908,08;84.908.080 €
1;122N;16000;Seguridad Social;33.183,10;33.183.100 €
1;122N;212;Reparaciones – Edificios y construcciones;4.203,65;4.203.650 €
—;—;—;TOTAL Apoyo Logístico;643.096,12;643.096.120 €
1;312A;12000–12012;Retribuciones básicas funcionarios y tropa;45.611,31;45.611.310 €
1;312A;12100–12112;Retribuciones complementarias;43.115,43;43.115.430 €
1;312A;12201;Retribuciones en especie – Vestuario;188,35;188.350 €
1;312A;12302;Indemnización por navegaciones en el extranjero;3,75;3.750 €
1;312A;13000–131;Retribuciones laborales fijos y eventuales;17.920,26;17.920.260 €
1;312A;16000;Seguridad Social;45.532,86;45.532.860 €
—;—;—;TOTAL GASTOS DE PERSONAL;152.371,96;152.371.960 €
1;312A;209;Cánones;8,18;8.180 €
1;312A;212–215;Reparaciones y mantenimiento;3.170,00;3.170.000 €
1;312A;22000–22199;Material, suministros y otros;21.431,30;21.431.300 €
1;312A;222–22799;Comunicaciones, transportes, tributos, gastos diversos, trabajos externos;2.300,00;2.300.000 €
—;—;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;24.609,48;24.609.480 €
1;312A;660;Inversiones militares operativas;1.255,31;1.255.310 €
—;—;—;TOTAL INVERSIONES REALES;1.255,31;1.255.310 €
—;—;—;TOTAL Asistencia hospitalaria en las Fuerzas Armadas;178.236,75;178.236.750,00
1;464A;12000–12012;Retribuciones básicas funcionarios y tropa;2.201,28;2.201.280 €
1;464A;12100–12110;Retribuciones complementarias;2.619,12;2.619.120 €
1;464A;12201;Retribuciones en especie – Vestuario;27,01;27.010 €
1;464A;12302;Indemnización por navegaciones en el extranjero;11,09;11.090 €
1;464A;13000–13001;Retribuciones laborales fijos;568,71;568.710 €
1;464A;16000;Seguridad Social;365,87;365.870 €
—;—;—;TOTAL GASTOS DE PERSONAL;5.793,08;5.793.080 €
—;—;—;TOTAL Investigación y estudios de las Fuerzas Armadas;5.793,08;5.793.080 €
1;931P;22;Material, suministros y otros;62,13;62.130 €
1;931P;220;Material de oficina;28,21;28.210,00
1;931P;22000;Ordinario no inventariable;15,5;15.500 €
1;931P;22001;Prensa, revistas, libros y otras publicaciones;12,71;12.710 €
1;931P;221;Suministros;11,29;11.290 €
1;931P;22199;Otros suministros;11,29;11.290 €
1;931P;226;Gastos diversos;22,63;22.630 €
1;931P;22606;Reuniones, conferencias y cursos;22,63;22.630 €
—;—;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;62,13;62.130 €
—;—;—;TOTAL Control interno y Contabilidad Pública;62,13;62.130 €
—;—;—;TOTAL MINISTERIO Y SUBSECRETARÍA;5.484.398,87;5.484.398.870 €
2;121M;20;Arrendamientos y cánones;343,65;343.650,00
2;121M;21;Reparaciones, mantenimiento y conservación;379,33;379.330,00
