;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 30 MINISTERIO DE IGUALDAD;
;Programa: 232D Igualdad de trato y diversidad;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;30.02;;Total;
1;GASTOS DE PERSONAL;1.515,67;;1.515,67;
10; Altos cargos;122,08;;122,08;
12; Funcionarios;1.136,04;;1.136,04;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;257,55;;257,55;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;2.220,50;;2.220,50;
22; Material, suministros y otros;2.102,50;;2.102,50;
23; Indemnizaciones por razón del servicio;118,00;;118,00;
4;TRANSFERENCIAS CORRIENTES;680,00;;680,00;
48; A familias e instituciones sin fines de lucro;677,00;;677,00;
49; Al exterior;3,00;;3,00;
6;INVERSIONES REALES;2.510,00;;2.510,00;
64; Gastos de inversiones de carácter inmaterial;2.510,00;;2.510,00;
;TOTAL;6.926,17;;6.926,17;
;;



