;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 30 MINISTERIO DE IGUALDAD;
;Programa: 232B Igualdad de oportunidades entre mujeres y hombres;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;30.02;30.101;Total;
1;GASTOS DE PERSONAL;1.275,93;6.353,48;7.629,41;
10; Altos cargos;80,30;61,04;141,34;
11; Personal eventual;253,23;;253,23;
12; Funcionarios;741,14;4.096,81;4.837,95;
13; Laborales;;518,22;518,22;
14; Otro personal;;295,06;295,06;
15; Incentivos al rendimiento;;571,34;571,34;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;201,26;811,01;1.012,27;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;4.804,54;10.250,07;15.054,61;
20; Arrendamientos y cánones;;1.250,00;1.250,00;
21; Reparaciones, mantenimiento y conservación;;367,68;367,68;
22; Material, suministros y otros;4.730,00;8.282,29;13.012,29;
23; Indemnizaciones por razón del servicio;74,54;150,10;224,64;
24; Gastos de publicaciones;;200,00;200,00;
4;TRANSFERENCIAS CORRIENTES;191.000,00;7.629,00;198.629,00;
44; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;;200,00;200,00;
45; A Comunidades Autónomas;190.000,00;1.100,00;191.100,00;
48; A familias e instituciones sin fines de lucro;1.000,00;6.325,00;7.325,00;
49; Al exterior;;4,00;4,00;
6;INVERSIONES REALES;7.000,00;3.154,75;10.154,75;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;;344,75;344,75;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;;600,00;600,00;
64; Gastos de inversiones de carácter inmaterial;7.000,00;2.210,00;9.210,00;
7;TRANSFERENCIAS DE CAPITAL;;100,00;100,00;
76; A Entidades Locales;;100,00;100,00;
8;ACTIVOS FINANCIEROS;;23,71;23,71;
83; Concesión de préstamos fuera del Sector Público;;23,71;23,71;
;TOTAL;204.080,47;27.511,01;231.591,48;
;;



