Orgánica;Capítulo;Explicación;Total (miles euros);Total (euros)
30.02;1;Altos cargos;80,3;80.300,00
30.02;1;Personal eventual;253,23;253.230,00
30.02;1;Funcionarios;741,14;741.140,00
30.02;1;Seguridad Social;201,26;201.260,00
30.02;2;Material, suministros y otros;4.730,00;4.730.000,00
30.02;2;Indemnizaciones por razón del servicio;74,54;74.540,00
30.02;4;A Comunidades Autónomas – Plan Corresponsables;190.000,00;190.000.000,00
30.02;4;A familias e instituciones sin fines de lucro – Conciliación y corresponsabilidad;1.000,00;1.000.000,00
30.02;4;A CCOO;370;370.000,00
30.02;4;A UGT;300;300.000,00
30.02;4;A MenEngage Iberia;330;330.000,00
30.02;6;Inversiones reales;7.000,00;7.000.000,00
30.101;1;Productividad;541,57;541.570,00
30.101;1;Gratificaciones;29,77;29.770,00
30.101;1;Seguridad Social;702,18;702.180,00
30.101;1;Formación y perfeccionamiento del personal;81,73;81.730,00
30.101;1;Acción social;18,53;18.530,00
30.101;1;Incentivos al rendimiento;571,34;571.340,00
30.101;2;Arrendamientos de edificios;1.200,00;1.200.000,00
30.101;2;Labores Fábrica Nacional Moneda y Timbre;0,1;100
30.101;2;Locales;171,67;171.670,00
30.101;2;Atenciones protocolarias;2,5;2.500,00
30.101;4;Fundación EOI;200;200.000,00
30.101;4;Comunidades Autónomas – Igualdad en Educación Superior;1.100,00;1.100.000,00
30.101;4;Actividades que fomenten la no discriminación;2.740,00;2.740.000,00
30.101;4;Grupo Cooperativo Tangente;350;350.000,00
30.101;4;Cooperativas Agroalimentarias;60;60.000,00
30.101;4;Asociación Nacional de Mujeres de la Pesca;60;60.000,00
30.101;4;Convenio con FEMP;400;400.000,00
30.101;4;Programa SARA (Cruz Roja, CEPAIM, FSG, FEUP, Médicos del Mundo);750;750.000,00
30.101;4;Transferencias a diversos programas de igualdad;1.250,00;1.250.000,00
30.101;4;Consejo Superior de Cámaras;60;60.000,00
30.101;4;Apoyo a sindicatos – Igualdad en negociación colectiva;550;550.000,00
30.101;4;Salud sexual y reproductiva;255;255.000,00
30.101;4;Becas IM “María Telo”;200;200.000,00
30.101;4;Cuotas a Equinet;4;4.000,00
30.101;6;Inversiones reales;3.154,75;3.154.750,00
30.101;7;Programa Mujer y Territorio;100;100.000,00
30.101;8;Préstamos a largo plazo fuera del sector público;23,71;23.710,00
;;Secretaría de Estado (30.02);204.080,47;204.080.470,00
;;Instituto de las Mujeres;27.511,01;27.511.010,00
;;Total Programa 232B;231.591,48;231.591.480,00
