Económica;Explicación;30.02 ;30.03 ;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;—;2.556,06;2.556,06;2.556.060,00
10;Altos cargos;—;61,04;61,04;61.040,00
12;Funcionarios;—;2.138,89;2.138,89;2.138.890,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;—;356,13;356,13;356.130,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;—;6.717,27;6.717,27;6.717.270,00
22;Material, suministros y otros;—;6.602,27;6.602,27;6.602.270,00
23;Indemnizaciones por razón del servicio;—;115;115;115.000,00
4;TRANSFERENCIAS CORRIENTES;170.202,02;53.618,00;223.820,02;223.820.020,00
45;A Comunidades Autónomas;130.202,02;19.800,00;150.002,02;150.002.020,00
46;A Entidades Locales;40.000,00;—;40.000,00;40.000.000,00
48;A familias e instituciones sin fines de lucro;—;33.768,00;33.768,00;33.768.000,00
49;Al exterior;—;50;50;50.000,00
6;INVERSIONES REALES;—;16.623,54;16.623,54;16.623.540,00
63;Inversión de reposición asociada al funcionamiento operativo;—;7.573,54;7.573,54;7.573.540,00
64;Gastos de inversiones de carácter inmaterial;—;9.050,00;9.050,00;9.050.000,00
7;TRANSFERENCIAS DE CAPITAL;10.000,00;—;10.000,00;10.000.000,00
75;A Comunidades Autónomas;10.000,00;—;10.000,00;10.000.000,00
—;TOTAL PROGRAMA 232C;180.202,02;79.514,87;259.716,89;259.716.890,00
