;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO;
;Resumen general por servicios y artículos del presupuesto de gastos;
;;
;Sección: 12 MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;12.01;12.02;12.03;12.04;12.05;Total;
1;GASTOS DE PERSONAL;342.860,94;19.033,69;2.396,56;6.171,87;2.670,91;373.133,97;
10; Altos cargos;574,72;334,53;141,34;385,43;202,36;1.638,38;
11; Personal eventual;822,94;256,06;256,06;256,06;256,06;1.847,18;
12; Funcionarios;208.590,03;13.992,37;1.610,44;5.092,68;1.916,83;231.202,35;
13; Laborales;92.635,12;3.000,09;159,08;;;95.794,29;
15; Incentivos al rendimiento;5.713,70;;;;;5.713,70;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;34.524,43;1.450,64;229,64;437,70;295,66;36.938,07;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;122.023,23;4.174,83;2.271,08;1.215,16;464,04;130.148,34;
20; Arrendamientos y cánones;28.493,73;13,80;;;;28.507,53;
21; Reparaciones, mantenimiento y conservación;13.255,13;403,57;;;;13.658,70;
22; Material, suministros y otros;67.465,76;2.628,31;1.831,29;1.215,16;464,04;73.604,56;
23; Indemnizaciones por razón del servicio;12.738,61;1.129,15;439,79;;;14.307,55;
24; Gastos de publicaciones;70,00;;;;;70,00;
3;GASTOS FINANCIEROS;25,04;0,89;;;;25,93;
35; Intereses de demora y otros gastos financieros;25,04;0,89;;;;25,93;
4;TRANSFERENCIAS CORRIENTES;3.158,80;684,56;49.964,00;407.573,44;1.927,47;463.308,27;
44; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;33,06;;5.000,00;5.003,84;1.321,97;11.358,87;
48; A familias e instituciones sin fines de lucro;690,12;684,56;1.229,00;1.800,00;196,50;4.600,18;
49; Al exterior;2.435,62;;43.735,00;400.769,60;409,00;447.349,22;
6;INVERSIONES REALES;64.522,25;505,78;;;;65.028,03;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;50.344,69;116,02;;;;50.460,71;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;13.131,73;389,76;;;;13.521,49;
64; Gastos de inversiones de carácter inmaterial;1.045,83;;;;;1.045,83;
7;TRANSFERENCIAS DE CAPITAL;;;10.000,00;;;10.000,00;
74; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;;;10.000,00;;;10.000,00;
8;ACTIVOS FINANCIEROS;782,40;;234.230,00;;;235.012,40;
83; Concesión de préstamos fuera del Sector Público;622,80;;;;;622,80;
84; Constitución de depósitos y fianzas;159,60;;;;;159,60;
87; Aportaciones patrimoniales;;;234.230,00;;;234.230,00;
;TOTAL CONSOLIDADO;533.372,66;24.399,75;298.861,64;414.960,47;5.062,42;1.276.656,94;
4;TRANSFERENCIAS CORRIENTES;;;572.559,07;;74.058,25;646.617,32;
43; A otras entidades del Sector Público Administrativo Estatal con presupuesto limitativo;;;572.559,07;;74.058,25;646.617,32;
7;TRANSFERENCIAS DE CAPITAL;;;11.070,25;;6.847,97;17.918,22;
73; A otras entidades del Sector Público Administrativo Estatal con presupuesto limitativo;;;11.070,25;;6.847,97;17.918,22;
;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;;;583.629,32;;80.906,22;664.535,54;
;TOTAL;533.372,66;24.399,75;882.490,96;414.960,47;85.968,64;1.941.192,48;
;;



