Económica;Explicación;Total (miles €);Total (euros)
1;GASTOS DE PERSONAL;373.133,97;373.133.970,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;130.148,34;130.148.340,00
3;GASTOS FINANCIEROS;25,93;25.930,00
4;TRANSFERENCIAS CORRIENTES;1.109.925,59;1.109.925.590,00
—;TOTAL OPERACIONES CORRIENTES;1.613.233,83;1.613.233.830,00
6;INVERSIONES REALES;65.028,03;65.028.030,00
7;TRANSFERENCIAS DE CAPITAL;27.918,22;27.918.220,00
—;TOTAL OPERACIONES DE CAPITAL;92.946,25;92.946.250,00
—;TOTAL OPERACIONES NO FINANCIERAS;1.706.180,08;1.706.180.080,00
8;ACTIVOS FINANCIEROS;235.012,40;235.012.400,00
—;TOTAL PRESUPUESTO;1.941.192,48;1.941.192.480,00
4;TRANSFERENCIAS CORRIENTES (entre subsectores);-646.617,32;-646.617.320,00
7;TRANSFERENCIAS DE CAPITAL (entre subsectores);-17.918,22;-17.918.220,00
—;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;-664.535,54;-664.535.540,00
—;TOTAL CONSOLIDADO;1.276.656,94;1.276.656.940,00
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
