Económica;Explicación;12.01;12.02;12.03;12.04;12.05;Total (miles euros);Total (euros)
101;Retribuciones básicas de altos cargos;574,72;334,53;141,34;385,43;202,36;1.638,38;1.638.380,00
110;Retribuciones básicas y otras remuneraciones de personal eventual;822,94;256,06;256,06;256,06;256,06;1.847,18;1.847.180,00
120;Retribuciones básicas de funcionarios;208.590,03;13.992,37;1.610,44;5.092,68;1.916,83;231.202,35;231.202.350,00
130;Retribuciones básicas de laborales;92.635,12;3.000,09;159,08;—;—;95.794,29;95.794.290,00
150;Incentivos al rendimiento;5.713,70;—;—;—;—;5.713,70;5.713.700,00
160;Cuotas sociales;34.524,43;1.450,64;229,64;437,7;295,66;36.938,07;36.938.070,00
200–229;Material, suministros y otros;67.465,76;2.628,31;1.831,29;1.215,16;464,04;73.604,56;73.604.560,00
230–233;Indemnizaciones por razón del servicio;12.738,61;1.129,15;439,79;—;—;14.307,55;14.307.550,00
240;Gastos de publicaciones;70,00;—;—;—;—;70,00;70.000,00
352;Intereses de demora;25,04;0,89;—;—;—;25,93;25.930,00
440–449;Transferencias corrientes;3.158,80;684,56;49.964,00;407.573,44;1.927,47;463.308,27;463.308.270,00
620;Inversión nueva funcionamiento operativo;50.344,69;116,02;—;—;—;50.460,71;50.460.710,00
630;Inversión de reposición funcionamiento operativo;13.131,73;389,76;—;—;—;13.521,49;13.521.490,00
640;Gastos de inversiones de carácter inmaterial;1.045,83;—;—;—;—;1.045,83;1.045.830,00
740;Transferencias de capital a entidades públicas;—;—;10.000,00;—;—;10.000,00;10.000.000,00
830;Préstamos a corto plazo fuera del sector público;622,80;—;—;—;—;622,80;622.800,00
840;Constitución de depósitos y fianzas;159,60;—;—;—;—;159,60;159.600,00
870;Aportaciones patrimoniales;—;—;234.230,00;—;—;234.230,00;234.230.000,00
—;TOTAL CONSOLIDADO;533.372,66;24.399,75;298.861,64;414.960,47;5.062,42;1.276.656,94;1.276.656.940,00
430–439;Transferencias entre subsectores (corrientes);—;—;572.559,07;—;74.058,25;646.617,32;646.617.320,00
730–739;Transferencias entre subsectores (capital);—;—;11.070,25;—;6.847,97;17.918,22;17.918.220,00
—;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;—;—;583.629,32;—;80.906,22;664.535,54;664.535.540,00
—;TOTAL GENERAL;533.372,66;24.399,75;882.490,96;414.960,47;85.968,64;1.941.192,48;1.941.192.480,00
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
