Orgánica;Económica;Explicación;Total (miles euros);Total (euros)
27.01;1;GASTOS DE PERSONAL;30.122,42;30.122.420,00
27.01;10;Altos cargos;416,91;416.910,00
27.01;11;Personal eventual;718,75;718.750,00
27.01;12;Funcionarios;20.752,61;20.752.610,00
27.01;13;Laborales;1.935,25;1.935.250,00
27.01;15;Incentivos al rendimiento;3.251,50;3.251.500,00
27.01;150;Productividad;3.153,99;3.153.990,00
27.01;151;Gratificaciones;97,51;97.510,00
27.01;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;3.047,40;3.047.400,00
27.01;16000;Seguridad Social;1.909,96;1.909.960,00
27.01;16200;Formación y perfeccionamiento del personal;224,5;224.500,00
27.01;16201;Economatos y comedores;129,43;129.430,00
27.01;16204;Acción social;464,25;464.250,00
27.01;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;17.261,91;17.261.910,00
27.01;21;Reparaciones, mantenimiento y conservación;1.970,76;1.970.760,00
27.01;22;Material, suministros y otros;14.771,15;14.771.150,00
27.01;22502;Locales;903,5;903.500,00
27.01;22601;Atenciones protocolarias y representativas;56,49;56.490,00
27.01;23;Indemnizaciones por razón del servicio;520;520.000,00
27.01;3;GASTOS FINANCIEROS;15;15.000,00
27.01;352;Intereses de demora;15;15.000,00
27.01;6;INVERSIONES REALES;5.067,64;5.067.640,00
27.01;8;ACTIVOS FINANCIEROS;191,32;191.320,00
27.01;830;Préstamos a corto plazo;25,77;25.770,00
27.01;831;Préstamos a largo plazo;165,55;165.550,00
—;—;TOTAL MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;52.658,29;52.658.290,00
27.02;1;GASTOS DE PERSONAL;2.322,41;2.322.410,00
27.02;10;Altos cargos;61,04;61.040,00
27.02;12;Funcionarios;2.020,74;2.020.740,00
27.02;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;240,63;240.630,00
27.02;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;134,58;134.580,00
—;—;TOTAL SECRETARÍA GENERAL TÉCNICA;2.456,99;2.456.990,00
27.03;1;GASTOS DE PERSONAL;4.583,03;4.583.030,00
27.03;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;99,33;99.330,00
27.03;3;GASTOS FINANCIEROS;2,65;2.650,00
27.03;6;INVERSIONES REALES;2,1;2.100,00
—;—;TOTAL SECRETARÍA DE ESTADO DE ECONOMÍA Y APOYO A LA EMPRESA;4.687,11;4.687.110,00
27.10;1;GASTOS DE PERSONAL;5.217,47;5.217.470,00
27.10;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;547,96;547.960,00
27.10;4;TRANSFERENCIAS CORRIENTES;1.000,00;1.000.000,00
27.10;6;INVERSIONES REALES;72,5;72.500,00
—;—;TOTAL SECRETARÍA DE ESTADO DE COMERCIO;6.837,93;6.837.930,00
27.14;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;2.825,81;2.825.810,00
27.14;6;INVERSIONES REALES;128,91;128.910,00
—;—;TOTAL DIRECCIÓN GENERAL DE COMERCIO INTERNACIONAL E INVERSIONES;2.954,72;2.954.720,00
—;—;TOTAL PROGRAMA 923Q – Dirección y Servicios Generales de Economía, Comercio y Empresa;69.595,04;69.595.040,00
