;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 27 MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA;
;Programa: 493O Regulación contable y de auditorías;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;27.102;;Total;
1;GASTOS DE PERSONAL;5.679,20;;5.679,20;
10; Altos cargos;61,04;;61,04;
12; Funcionarios;4.172,50;;4.172,50;
13; Laborales;190,58;;190,58;
15; Incentivos al rendimiento;328,51;;328,51;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;926,57;;926,57;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;3.768,50;;3.768,50;
20; Arrendamientos y cánones;79,16;;79,16;
21; Reparaciones, mantenimiento y conservación;875,15;;875,15;
22; Material, suministros y otros;2.471,91;;2.471,91;
23; Indemnizaciones por razón del servicio;297,28;;297,28;
24; Gastos de publicaciones;45,00;;45,00;
3;GASTOS FINANCIEROS;0,60;;0,60;
35; Intereses de demora y otros gastos financieros;0,60;;0,60;
4;TRANSFERENCIAS CORRIENTES;416,95;;416,95;
45; A Comunidades Autónomas;6,00;;6,00;
48; A familias e instituciones sin fines de lucro;42,79;;42,79;
49; Al exterior;368,16;;368,16;
6;INVERSIONES REALES;629,06;;629,06;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;24,06;;24,06;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;605,00;;605,00;
8;ACTIVOS FINANCIEROS;20,00;;20,00;
83; Concesión de préstamos fuera del Sector Público;20,00;;20,00;
;TOTAL;10.514,31;;10.514,31;
;;



