Económica;Explicación;27.04;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;8.937,94;8.937,94;8.937.940,00
10;Altos cargos;132,2;132,2;132.200,00
12;Funcionarios;7.386,28;7.386,28;7.386.280,00
13;Laborales;576,56;576,56;576.560,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;842,9;842,9;842.900,00
16000;Seguridad Social;842,9;842,9;842.900,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;35.623,07;35.623,07;35.623.070,00
20;Arrendamientos y cánones;0,85;0,85;850
21;Reparaciones, mantenimiento y conservación;402,84;402,84;402.840,00
22;Material, suministros y otros;34.562,13;34.562,13;34.562.130,00
22601;Atenciones protocolarias y representativas;5,69;5,69;5.690,00
22708;Gastos derivados de la acuñación, retirada y desmonetización de moneda metálica y obligaciones anteriores;34.200,00;34.200,00;34.200.000,00
23;Indemnizaciones por razón del servicio;657,25;657,25;657.250,00
3;GASTOS FINANCIEROS;15.060,44;15.060,44;15.060.440,00
35;Intereses de demora y otros gastos financieros;15.060,44;15.060,44;15.060.440,00
351;Cobertura de riesgos en avales prestados por el Tesoro;13.219,99;13.219,99;13.219.990,00
355;Compensaciones derivadas de la ejecución de avales frente al Tesoro Público;176;176;176.000,00
359;Otros gastos financieros;1.664,45;1.664,45;1.664.450,00
4;TRANSFERENCIAS CORRIENTES;722,22;722,22;722.220,00
48;A familias e instituciones sin fines de lucro;200;200;200.000,00
486;Indemnizaciones por síndrome tóxico (Sentencia TS 1997);200;200;200.000,00
49;Al exterior;522,22;522,22;522.220,00
491–495;Contribuciones a organismos internacionales (BRUEGEL, GAFI, FMI, OCDE);522,22;522,22;522.220,00
6;INVERSIONES REALES;846,36;846,36;846.360,00
8;ACTIVOS FINANCIEROS;1;1;1.000,00
89;Suscripción de acciones y aportaciones a organismos internacionales;1;1;1.000,00
891;Real Decreto-ley 4/2016 – Junta Única de Resolución;1;1;1.000,00
9;PASIVOS FINANCIEROS;1;1;1.000,00
95;Puesta en circulación de moneda metálica;1;1;1.000,00
951;Puesta en circulación negativa de moneda metálica;1;1;1.000,00
—;TOTAL PROGRAMA 923O – Gestión de la Deuda y de la Tesorería del Estado;—;61.192,03;61.192.030,00
