Económica;Explicación;27.102;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;5.679,20;5.679,20;5.679.200,00
10;Altos cargos;61,04;61,04;61.040,00
12;Funcionarios;4.172,50;4.172,50;4.172.500,00
13;Laborales;190,58;190,58;190.580,00
15;Incentivos al rendimiento;328,51;328,51;328.510,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;926,57;926,57;926.570,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;3.768,50;3.768,50;3.768.500,00
20;Arrendamientos y cánones;79,16;79,16;79.160,00
21;Reparaciones, mantenimiento y conservación;875,15;875,15;875.150,00
22;Material, suministros y otros;2.472;2.471,91;2.471.910,00
23;Indemnizaciones por razón del servicio;297,28;297,28;297.280,00
24;Gastos de publicaciones;45;45;45.000,00
3;GASTOS FINANCIEROS;0,6;0,6;600
35;Intereses de demora y otros gastos financieros;0,6;0,6;600
4;TRANSFERENCIAS CORRIENTES;416,95;416,95;416.950,00
45;A Comunidades Autónomas;6;6;6.000,00
48;A familias e instituciones sin fines de lucro;42,79;42,79;42.790,00
49;Al exterior;368,16;368,16;368.160,00
6;INVERSIONES REALES;629,06;629,06;629.060,00
62;Inversión nueva asociada al funcionamiento operativo de los servicios;24,06;24,06;24.060,00
63;Inversión de reposición asociada al funcionamiento operativo de los servicios;605;605;605.000,00
8;ACTIVOS FINANCIEROS;20;20;20.000,00
83;Concesión de préstamos fuera del Sector Público;20;20;20.000,00
—;TOTAL PROGRAMA 493O – Regulación contable y de auditorías;—;10.514,31;10.514.310,00
