;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 27 MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA;
;Programa: 43MD C13.I04 Apoyo al Comercio;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;27.50;;Total;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;734,39;;734,39;
29; Gastos corrientes en bienes y servicios. Mecanismo de Recuperación y Resiliencia;734,39;;734,39;
6;INVERSIONES REALES;900,00;;900,00;
69; Inversiones reales. Mecanismo de Recuperación y Resiliencia;900,00;;900,00;
7;TRANSFERENCIAS DE CAPITAL;121.515,61;;121.515,61;
75; A Comunidades Autónomas;50.000,00;;50.000,00;
76; A Entidades Locales;71.515,61;;71.515,61;
;TOTAL;123.150,00;;123.150,00;
;;



