Económica;Explicación;27.03;27.05;27.06;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;—;2.621,42;1.987,78;4.609,20;4.609.200,00
10;Altos cargos;—;61,04;61,04;122,08;122.080,00
12;Funcionarios;—;2.328,74;1.690,65;4.019,39;4.019.390,00
13;Laborales;—;16,87;—;16,87;16.870,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;—;214,77;236,09;450,86;450.860,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;—;163,18;256,92;420,1;420.100,00
22;Material, suministros y otros;—;53,03;140,68;193,71;193.710,00
23;Indemnizaciones por razón del servicio;—;110,15;116,24;226,39;226.390,00
3;GASTOS FINANCIEROS;12.630,00;—;—;12.630,00;12.630.000,00
35;Intereses de demora y otros gastos financieros;12.630,00;—;—;12.630,00;12.630.000,00
4;TRANSFERENCIAS CORRIENTES;2.250,00;—;21;2.271,00;2.271.000,00
48;A familias e instituciones sin fines de lucro;250;—;—;250;250.000,00
49;Al exterior;2.000,00;—;21;2.021,00;2.021.000,00
6;INVERSIONES REALES;—;4,49;—;4,49;4.490,00
63;Inversión de reposición asociada al funcionamiento operativo;—;4,49;—;4,49;4.490,00
7;TRANSFERENCIAS DE CAPITAL;372,07;—;—;372,07;372.070,00
74;A entidades del Sector Público Estatal;372,07;—;—;372,07;372.070,00
8;ACTIVOS FINANCIEROS;1;—;—;1;1.000,00
89;Aportaciones a organismos internacionales;1;—;—;1;1.000,00
—;TOTAL PROGRAMA 931M – Previsión y política económica;15.253,07;2.789,09;2.265,70;20.307,86;20.307.860,00
