;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 27 MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA;
;Programa: 000X Transferencias y libramientos internos;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;27.03;27.102;Total;
4;TRANSFERENCIAS CORRIENTES;193.756,19;393,46;194.149,65;
40; A la Administración del Estado;;393,46;393,46;
41; A Organismos Autónomos;139.253,04;;139.253,04;
43; A otras entidades del Sector Público Administrativo Estatal con presupuesto limitativo;54.503,15;;54.503,15;
7;TRANSFERENCIAS DE CAPITAL;27.966,83;;27.966,83;
71; A Organismos Autónomos;24.053,12;;24.053,12;
73; A otras entidades del Sector Público Administrativo Estatal con presupuesto limitativo;3.913,71;;3.913,71;
;TOTAL;221.723,02;393,46;222.116,48;
;;



