;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 27 MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA;
;Programa: 431O Ordenación y modernización de las estructuras comerciales;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;27.15;;Total;
1;GASTOS DE PERSONAL;7.085,44;;7.085,44;
10; Altos cargos;61,04;;61,04;
12; Funcionarios;6.070,34;;6.070,34;
13; Laborales;287,65;;287,65;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;666,41;;666,41;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;652,13;;652,13;
22; Material, suministros y otros;582,13;;582,13;
23; Indemnizaciones por razón del servicio;70,00;;70,00;
4;TRANSFERENCIAS CORRIENTES;134,00;;134,00;
47; A empresas privadas;25,00;;25,00;
48; A familias e instituciones sin fines de lucro;109,00;;109,00;
6;INVERSIONES REALES;5,00;;5,00;
64; Gastos de inversiones de carácter inmaterial;5,00;;5,00;
7;TRANSFERENCIAS DE CAPITAL;2.727,50;;2.727,50;
76; A Entidades Locales;600,00;;600,00;
78; A familias e instituciones sin fines de lucro;2.127,50;;2.127,50;
;TOTAL;10.604,07;;10.604,07;
;;



