;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 32 MINISTERIO DE INCLUSIÓN, SEGURIDAD SOCIAL Y MIGRACIONES;
;Programa: 232E Análisis y definición de objetivos y políticas de Inclusión;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;32.04;;Total;
1;GASTOS DE PERSONAL;2.701,84;;2.701,84;
10; Altos cargos;71,16;;71,16;
12; Funcionarios;1.819,42;;1.819,42;
13; Laborales;514,60;;514,60;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;296,66;;296,66;
4;TRANSFERENCIAS CORRIENTES;50,00;;50,00;
44; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;50,00;;50,00;
;TOTAL;2.751,84;;2.751,84;
;;



