;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 32 MINISTERIO DE INCLUSIÓN, SEGURIDAD SOCIAL Y MIGRACIONES;
;Programa: 231B Acciones en favor de los emigrantes;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;32.03;;Total;
1;GASTOS DE PERSONAL;1.542,19;;1.542,19;
12; Funcionarios;1.391,56;;1.391,56;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;150,63;;150,63;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;622,21;;622,21;
22; Material, suministros y otros;622,21;;622,21;
4;TRANSFERENCIAS CORRIENTES;58.337,79;;58.337,79;
48; A familias e instituciones sin fines de lucro;8.780,00;;8.780,00;
49; Al exterior;49.557,79;;49.557,79;
;TOTAL;60.502,19;;60.502,19;
;;



