Servicio;Programa;Económica;Explicación;Total (miles euros);Total (euros)
1;923R;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;317.051,70;317.051.700,00
1;923R;22;Material, suministros y otros;317.051,70;317.051.700,00
1;923R;221;Suministros – Labores Fábrica Nacional Moneda y Timbre;2.792,21;2.792.210,00
1;923R;222;Comunicaciones;201.829,94;201.829.940,00
1;923R;22200;Servicios de telecomunicaciones;73.587,92;73.587.920,00
1;923R;22201;Postales y mensajería;128.242,02;128.242.020,00
1;923R;227;Trabajos realizados por otras empresas y profesionales;112.429,55;112.429.550,00
1;923R;22700;Limpieza y aseo;74.498,21;74.498.210,00
1;923R;22701;Seguridad;37.560,42;37.560.420,00
1;923R;22706;Estudios y trabajos técnicos;370,92;370.920,00
1;923R;3;GASTOS FINANCIEROS;20;20.000,00
1;923R;35;Intereses de demora y otros gastos financieros;20;20.000,00
1;923R;352;Intereses de demora;20;20.000,00
—;—;—;TOTAL Contratación centralizada;317.071,70;317.071.700,00
—;—;—;TOTAL DIRECCIÓN GENERAL DE RACIONALIZACIÓN Y CENTRALIZACIÓN DE LA CONTRATACIÓN;317.071,70;317.071.700,00
—;—;—;TOTAL CONTRATACIÓN CENTRALIZADA;317.071,70;317.071.700,00
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
