;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen económico por programas del presupuesto de gastos;
;;
;Sección: 33 MINISTERIO PARA LA TRANSFORMACIÓN DIGITAL Y DE LA FUNCIÓN PÚBLICA;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Clasif. por programas;Explicación;Cap. 1;Cap. 2;Cap. 3;Cap. 4;Cap. 6;Cap. 7;Cap. 8;Cap. 1 a 8;Total;
222M; Prestaciones económicas del Mutualismo Administrativo;31.536,02;6.455,30;137,03;278.889,32;3.290,86;;180,30;320.488,83;320.488,83;
312E; Asistencia sanitaria del Mutualismo Administrativo;;1.189.411,15;;427.500,00;;;;1.616.911,15;1.616.911,15;
46KA; C11.I01 Modernización de la Administración General del Estado. I+D+i+Digitalización;;;;;233.393,17;;;233.393,17;233.393,17;
46LA; C12.I01 Espacios de datos sectoriales (contribución a proyectos tractores de digitalización de los sectores productivos estratégicos);;;;;;400.000,00;;400.000,00;400.000,00;
46MA; C13.I01 Emprendimiento. I+D+i+Digitalización;;;;;20.000,00;28.000,00;12.000,00;60.000,00;60.000,00;
46MC; C13.I03 Digitalización e Innovación I. I+D+i+Digitalización;;;;;31.000,00;1.291.000,00;;1.322.000,00;1.322.000,00;
46NB; C14.I02 Programa de digitalización e inteligencia para destinos y sector turístico. I+D+i+Digitalización;;;;;;100.000,00;;100.000,00;100.000,00;
46OA; C15.I01 Favorecer la vertebración territorial mediante despliegue de redes: Extensión de la banda ancha ultrarrápida y cobertura en movilidad de 30 Mbps;;;;;;256.000,00;;256.000,00;256.000,00;
46OB; C15.I02 Refuerzo de conectividad en centros de referencia, motores socioeconómicos y proyectos tractores de digitalización sectorial;;;;;;155.000,00;;155.000,00;155.000,00;
46OC; C15.I03 Bonos de conectividad para PYMES y colectivos vulnerables;;;;;;10.000,00;;10.000,00;10.000,00;
46OD; C15.I04 Renovación y sostenibilidad de infraestructuras;;;;;;20.000,00;;20.000,00;20.000,00;
46OE; C15.I05 Despliegue de infraestructuras digitales transfronterizas. I+D+i+Digitalización;;;;;;550.000,00;800.000,00;1.350.000,00;1.350.000,00;
46OG; C15.I07 Ciberseguridad: Fortalecimiento de las capacidades de ciudadanos, PYMES y profesionales. e Impulso del ecosistema del sector;;;;2.620,00;;129.000,00;;131.620,00;131.620,00;
46PR; C16.R01 Estrategia Nacional de IA;;;;;5.400,00;81.200,00;;86.600,00;86.600,00;
46RF; C18.I06 Data lake Sanitario;;;;;65.000,00;;;65.000,00;65.000,00;
46SA; C19.I01 Competencias digitales transversales. I+D+i+Digitalización;;;;2.000,00;;24.000,00;;26.000,00;26.000,00;
46SD; C19.I04 Profesionales digitales;;;;;5.000,00;;;5.000,00;5.000,00;
46UE; C21.I05 Mejora de infraestructuras digitales, el equipamiento, las tecnologías, la docencia y la evaluación digitales universitarios;;;;;;10.000,00;;10.000,00;10.000,00;
461N; Dirección y Servicios Generales de Transformación Digital y de la Función Pública;17.437,66;17.552,46;;;2.254,08;;12,22;37.256,42;37.256,42;
467G; Investigación y desarrollo de la Sociedad de la Información;16.934,02;21.976,86;;187,84;22.507,34;11.100,00;16.000,00;88.706,06;88.706,06;
467I; Innovación tecnológica de las telecomunicaciones;2.699,98;;;2.545,00;18.203,11;30.800,00;149.825,40;204.073,49;204.073,49;
49OF; C15.I06 Despliegue del 5G: redes, cambio tecnológico e innovación;;;;;15.000,00;555.000,00;;570.000,00;570.000,00;
49OS; C15.R02 Hoja de ruta 5G: Gestión y asignación del espectro, reducción de cargas al despliegue, Ley de Ciberseguridad 5G y Apoyo a entidades locales;;;;;1.000,00;30.000,00;;31.000,00;31.000,00;
491M; Ordenación y promoción de las telecomunicaciones y de la Sociedad de la Información;17.278,47;;;2.714,78;15.260,69;250,00;2.000,00;37.503,94;37.503,94;
92KC; C11.I03 Transformación Digital y Modernización de la AGE. Servicios de carácter general;;1.869,99;;60,00;3.669,57;;;5.599,56;5.599,56;
921N; Dirección y organización de la Administración Pública;15.384,50;1.005,72;;1.341,19;876,00;;;18.607,41;18.607,41;
921O; Formación del personal de las Administraciones Públicas;23.166,33;27.070,46;0,82;63.616,43;3.394,49;;50,00;117.298,53;117.298,53;
921X; Evaluación de la transparencia de la actividad pública;2.463,70;824,68;1,00;10,00;77,00;;3,00;3.379,38;3.379,38;
94KC; C11.I03 Transformación Digital y Modernización de las CCAA y EELL. Transferencias a otras AA.PP.;;;;;;221.300,00;;221.300,00;221.300,00;
;TOTAL CONSOLIDADO;126.900,68;1.266.166,62;138,85;781.484,56;445.326,31;3.902.650,00;980.070,92;7.502.737,94;7.502.737,94;
000X; Transferencias y libramientos internos;;;;29.055,34;;5.282,95;;34.338,29;34.338,29;
;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;;;;29.055,34;;5.282,95;;34.338,29;34.338,29;
;TOTAL;126.900,68;1.266.166,62;138,85;810.539,90;445.326,31;3.907.932,95;980.070,92;7.537.076,23;7.537.076,23;
;;



