Programa;Explicación;Estado (miles €);OO.AA. (miles €);R.Entidades (miles €);Total (miles €);Total (€ reales)
222M;Prestaciones económicas del Mutualismo Administrativo;—;320.488,83;—;320.488,83;320.488.830 €
312E;Asistencia sanitaria del Mutualismo Administrativo;—;1.616.911,15;—;1.616.911,15;1.616.911.150 €
46KA;Modernización AGE – I+D+i+Digitalización;233.393,17;—;—;233.393,17;233.393.170 €
46LA;Espacios de datos sectoriales;400.000,00;—;—;400.000,00;400.000.000 €
46MA;Emprendimiento – I+D+i+Digitalización;60.000,00;—;—;60.000,00;60.000.000 €
46MC;Digitalización e Innovación I;1.322.000,00;—;—;1.322.000,00;1.322.000.000 €
46NB;Digitalización turística;100.000,00;—;—;100.000,00;100.000.000 €
46OA;Banda ancha ultrarrápida;256.000,00;—;—;256.000,00;256.000.000 €
46OB;Refuerzo de conectividad;155.000,00;—;—;155.000,00;155.000.000 €
46OC;Bonos de conectividad;10.000,00;—;—;10.000,00;10.000.000 €
46OD;Renovación de infraestructuras;20.000,00;—;—;20.000,00;20.000.000 €
46OE;Infraestructuras digitales transfronterizas;1.350.000,00;—;—;1.350.000,00;1.350.000.000 €
46OG;Ciberseguridad;131.620,00;—;—;131.620,00;131.620.000 €
46PR;Estrategia Nacional de IA;86.600,00;—;—;86.600,00;86.600.000 €
46RF;Data lake sanitario;65.000,00;—;—;65.000,00;65.000.000 €
46SA;Competencias digitales transversales;26.000,00;—;—;26.000,00;26.000.000 €
46SD;Profesionales digitales;5.000,00;—;—;5.000,00;5.000.000 €
46UE;Digitalización universitaria;10.000,00;—;—;10.000,00;10.000.000 €
461N;Dirección y Servicios Generales de Transformación Digital;31.047,97;—;—;31.047,97;31.047.970 €
467G;Investigación y desarrollo de la Sociedad de la Información;88.706,06;—;—;88.706,06;88.706.060 €
467I;Innovación tecnológica de las telecomunicaciones;204.073,49;—;—;204.073,49;204.073.490 €
49OF;Despliegue del 5G;570.000,00;—;—;570.000,00;570.000.000 €
49OS;Hoja de ruta 5G;31.000,00;—;—;31.000,00;31.000.000 €
491M;Ordenación y promoción de las telecomunicaciones;37.503,94;—;—;37.503,94;37.503.940 €
92KC;Transformación Digital AGE – Servicios generales;3.315,10;2.284,46;—;5.599,56;5.599.560 €
921N;Dirección y organización de la Administración Pública;20.518,24;—;—;20.518,24;20.518.240 €
921O;Formación del personal de las Administraciones Públicas;—;117.298,53;—;117.298,53;117.298.530 €
921X;Evaluación de la transparencia de la actividad pública;—;—;3.379,38;3.379,38;3.379.380 €
94KC;Transformación Digital CCAA y EELL;221.300,00;—;—;221.300,00;221.300.000 €
TOTAL CONSOLIDADO;—;5.438.077,97;2.056.982,97;3.379,38;7.498.440,32;7.498.440.320 €
000X;Transferencias y libramientos internos;33.906,27;432,02;;34.338,29;34.338.290,00
TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;—;33.906,27;432,02;;34.338,29;34.338.290,00
;;;;Estado;5.471.984,24;5.471.984.240 €
;;;;Organismos Autónomos;2.057.414,99;2.057.414.990 €
;;;;Resto de Entidades;3.379,38;3.379.380 €
;;;;TOTAL GENERAL;7.532.778,61;7.532.778.610,00
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
