Económica;Explicación;28.09;28.101;28.102;28.104;Total (miles euros);Total (euros)
1;Gastos de personal;7.691,04;5.086,86;6.968,76;5.074,41;24.821,07;24.821.070,00
10;Altos cargos;71,16;—;—;61,04;132,2;132.200,00
12;Funcionarios;6.457,54;1.377,02;5.197,25;735,39;13.767,20;13.767.200,00
13;Laborales;498,91;2.508,92;108,61;2.970,19;6.086,63;6.086.630,00
15;Incentivos al rendimiento;—;124,18;165,83;78,9;368,91;368.910,00
16;Cuotas, prestaciones y gastos sociales;663,43;1.076,74;1.497,07;1.228,89;4.466,13;4.466.130,00
2;Gastos corrientes en bienes y servicios;4.814,21;9.257,03;4.438,37;6.566,23;25.075,84;25.075.840,00
20;Arrendamientos y cánones;—;100,15;11,55;30;141,7;141.700,00
21;Reparaciones, mantenimiento y conservación;4,27;654,82;25,2;477,5;1.161,79;1.161.790,00
22;Material, suministros y otros;4.458,76;8.025;3.348;1.203;17.035,10;17.035.100,00
23;Indemnizaciones por razón del servicio;351,18;477,39;977,24;4.855,44;6.661,25;6.661.250,00
24;Gastos de publicaciones;—;—;76;—;76;76.000,00
3;Gastos financieros;15;34,35;4,35;1;54,7;54.700,00
4;Transferencias corrientes;86.939,78;205,65;25;—;87.170,43;87.170.430,00
44–49;Detalle de transferencias (sociedades, CCAA, familias, exterior, etc.);?;?;?;—;—;—
6;Inversiones reales;145;1.144,13;510;1.220,00;3.019,13;3.019.130,00
62;Inversión nueva;60;662;30;200;952;952.000,00
63;Inversión de reposición;80;447,13;350;270;1.147,13;1.147.130,00
64;Inversiones inmateriales;5;35;130;750;920;920.000,00
7;Transferencias de capital;6.110,26;—;—;—;6.110,26;6.110.260,00
8;Activos financieros;—;15,13;8,5;15;38,63;38.630,00
—;TOTAL PROGRAMA 322C – Enseñanzas universitarias;105.715,29;15.743,15;11.954,98;12.876,64;146.290,06;146.290.060,00
