Orgánica;Económica;Explicación;Importe (miles €);Importe (€)
28.50;74946;Al CDTI para refuerzo de capacidades industriales en salud (IPCEI Salud). Mecanismo de Recuperación y Resiliencia;200.000,00;200.000.000,00 €
28.50;87002;Al CDTI para actuaciones del PERTE Salud de Vanguardia. Mecanismo de Recuperación y Resiliencia;30.000,00;30.000.000,00 €
—;—;TOTAL CDTI – Mecanismo de Recuperación y Resiliencia;230.000,00;230.000.000,00 €
28.107;—;Instituto de Salud Carlos III – Investigación biomédica, salud pública, redes de excelencia;159.117,05;159.117.050,00 €
28.301;—;Consejo Superior de Investigaciones Científicas – Proyectos de investigación en salud;35.126,00;35.126.000,00 €
—;—;TOTAL PROGRAMA C17.I06;424.243,05;424.243.050,00 €
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
