Orgánica;Económica;Explicación;Importe (miles €);Total (€)
28.09;;SECRETARÍA GENERAL DE UNIVERSIDADES;;
28.09;45;A Comunidades Autónomas;80;80.000,00
28.09;456;Programa Campus Inclusivos, Campus sin Límites;80;80.000,00
28.09;48;A familias e instituciones sin fines de lucro;949,1;949.100,00
28.09;488;Becas y otras ayudas;949,1;949.100,00
;;TOTAL SECRETARÍA GENERAL DE UNIVERSIDADES;1.029,10;1.029.100,00
28.101;;UNIVERSIDAD INTERNACIONAL MENÉNDEZ PELAYO;;
28.101;48;A familias e instituciones sin fines de lucro;8.906,04;8.906.040,00
28.101;487;Concesión de becas y premios;622,46;622.460,00
28.101;488;Concesión de becas de inmersión lingüística;8.223,58;8.223.580,00
28.101;489;"Concesión de becas Programa ""Campus Rural""";60;60.000,00
;;TOTAL UNIVERSIDAD INTERNACIONAL MENÉNDEZ PELAYO;8.906,04;8.906.040,00
28.102;;SERVICIO ESPAÑOL PARA LA INTERNACIONALIZACIÓN DE LA EDUCACIÓN (SEPIE);;
28.102;44;A entidades del Sector Público Estatal;50;50.000,00
28.102;441;Cofinanciación nacional Programa Erasmus +;50;50.000,00
28.102;45;A Comunidades Autónomas;10.000,00;10.000.000,00
28.102;452;Cofinanciación nacional Programa Erasmus +;10.000,00;10.000.000,00
28.102;46;A Entidades Locales;450;450.000,00
28.102;460;Cofinanciación nacional Programa Erasmus +;450;450.000,00
28.102;47;A empresas privadas;10.000,00;10.000.000,00
28.102;471;Cofinanciación nacional Programa Erasmus +;10.000,00;10.000.000,00
28.102;48;A familias e instituciones sin fines de lucro;19.500,00;19.500.000,00
28.102;484;Cofinanciación nacional Programa Erasmus +;19.500,00;19.500.000,00
;;TOTAL SERVICIO ESPAÑOL PARA LA INTERNACIONALIZACIÓN DE LA EDUCACIÓN;40.000,00;40.000.000,00
;;TOTAL GENERAL PROGRAMA 323M;49.935,14;49.935.140,00
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
