Económica;Explicación;28.107;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;45.229,23;45.229,23;45.229.230
10;Altos cargos;122,08;122,08;122.080
12;Funcionarios;22.541,53;22.541,53;22.541.530
13;Laborales;11.031,69;11.031,69;11.031.690
15;Incentivos al rendimiento;1.931,94;1.931,94;1.931.940
16;Cuotas, prestaciones y gastos sociales;9.601,99;9.601,99;9.601.990
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;24.536,42;24.536,42;24.536.420
20;Arrendamientos y cánones;175,06;175,06;175.060
21;Reparaciones, mantenimiento y conservación;2.723,70;2.723,70;2.723.700
22;Material, suministros y otros;19.829;19.829,07;19.829.070
23;Indemnizaciones por razón del servicio;1.767,93;1.767,93;1.767.930,00
24;Gastos de publicaciones;40,66;40,66;40.660
3;GASTOS FINANCIEROS;60;60;60.000,00
35;Intereses de demora y otros gastos financieros;60;60;60.000,00
4;TRANSFERENCIAS CORRIENTES;85.896,22;85.896,22;85.896.220,00
44;A entidades del Sector Público Estatal;82.308,93;82.308,93;82.308.930,00
45;A Comunidades Autónomas;20;20;20.000,00
48;A familias e instituciones sin fines de lucro;1.045,83;1.045,83;1.045.830
49;Al exterior;2.521,46;2.521,46;2.521.460,00
6;INVERSIONES REALES;10.282,20;10.282,20;10.282.200,00
62;Inversión nueva asociada al funcionamiento;7.577,60;7.577,60;7.577.600,00
63;Inversión de reposición asociada al funcionamiento;2.233,41;2.233,41;2.233.410
64;Gastos de inversiones inmateriales;471,19;471,19;471.190
7;TRANSFERENCIAS DE CAPITAL;163.857,38;163.857,38;163.857.380
74;A entidades del Sector Público Estatal;6.224,97;6.224,97;6.224.970,00
75;A Comunidades Autónomas;147.936,80;147.936,80;147.936.800,00
76;A Entidades Locales;20;20;20.000
78;A familias e instituciones sin fines de lucro;9.675,61;9.675,61;9.675.610,00
8;ACTIVOS FINANCIEROS;226;226;226.000,00
83;Préstamos fuera del Sector Público;201;201;201.000,00
84;Depósitos y fianzas;25;25;25.000,00
—;TOTAL PROGRAMA 465A;—;330.087,45;330.087.450,00
