Económica;Explicación;Importe (miles €);Importe (€)
1;Gastos de personal;656,11;656.110,00 €
15;Incentivos al rendimiento;12,61;12.610,00 €
150;Productividad;12,61;12.610,00 €
16000;Seguridad Social;144,29;144.290,00 €
16200;Formación y perfeccionamiento del personal;10,16;10.160,00 €
16204;Acción social;44,3;44.300,00 €
2;Gastos corrientes en bienes y servicios;1.088,37;1.088.370,00 €
202;Arrendamientos de edificios y otras construcciones;1,05;1.050,00 €
22601;Atenciones protocolarias y representativas;1,05;1.050,00 €
3;Gastos financieros;1;1.000,00 €
352;Intereses de demora;0,5;500,00 €
359;Otros gastos financieros;0,5;500,00 €
4;Transferencias corrientes;178,64;178.640,00 €
44;A entidades del sector público estatal;1;1.000,00 €
440;Ayudas a instituciones universitarias para ferias y acciones de internacionalización;1;1.000,00 €
45;A Comunidades Autónomas;65,7;65.700,00 €
451;Ayudas a universidades públicas;65,7;65.700,00 €
47;A empresas privadas;18;18.000,00 €
470;Ayudas a universidades privadas;18;18.000,00 €
48;A familias e instituciones sin fines de lucro;71,94;71.940,00 €
480;Ayudas a universidades fundacionales;21,94;21.940,00 €
485;Becas doctorales y postdoctorales en Brasil;50;50.000,00 €
49;Al exterior;22;22.000,00 €
491;Asociación de Cooperación Académica (ACA);22;22.000,00 €
6;Inversiones reales;106,29;106.290,00 €
8;Activos financieros;8;8.000,00 €
830;Préstamos a corto plazo;2,5;2.500,00 €
831;Préstamos a largo plazo;5,5;5.500,00 €
—;TOTAL PROGRAMA 144B – SEPIE;2.038,41;2.038.410,00 €
