Sección;Orgánica;Económica;Explicación;Total (miles euros);Total (euros)
28.06;SECRETARÍA GENERAL DE INVESTIGACIÓN;10;Altos cargos;71,16;71.160
28.06;SECRETARÍA GENERAL DE INVESTIGACIÓN;12;Funcionarios;1.738,95;1.738.950
28.06;SECRETARÍA GENERAL DE INVESTIGACIÓN;13;Laborales;205,09;205.090
28.06;SECRETARÍA GENERAL DE INVESTIGACIÓN;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;304,54;304.540
28.06;SECRETARÍA GENERAL DE INVESTIGACIÓN;16000;Seguridad Social;304,54;304.540
28.06;SECRETARÍA GENERAL DE INVESTIGACIÓN;—;TOTAL GASTOS DE PERSONAL;2.319,74;2.319.740
28.06;SECRETARÍA GENERAL DE INVESTIGACIÓN;22;Material, suministros y otros;10.207,01;10.207.010
28.06;SECRETARÍA GENERAL DE INVESTIGACIÓN;22601;Atenciones protocolarias y representativas;4,63;4.630
28.06;SECRETARÍA GENERAL DE INVESTIGACIÓN;23;Indemnizaciones por razón del servicio;182,08;182.080
28.06;SECRETARÍA GENERAL DE INVESTIGACIÓN;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;10.389,09;10.389.090
28.06;SECRETARÍA GENERAL DE INVESTIGACIÓN;35;Intereses de demora y otros gastos financieros;1;1.000
28.06;SECRETARÍA GENERAL DE INVESTIGACIÓN;352;Intereses de demora;1;1.000
28.06;SECRETARÍA GENERAL DE INVESTIGACIÓN;—;TOTAL GASTOS FINANCIEROS;1;1.000
28.06;SECRETARÍA GENERAL DE INVESTIGACIÓN;44;A entidades del Sector Público Estatal;13.460,42;13.460.420
28.06;SECRETARÍA GENERAL DE INVESTIGACIÓN;44901;FECYT – Oficina Europea;1.200,00;1.200.000
28.06;SECRETARÍA GENERAL DE INVESTIGACIÓN;44902;FECYT – Museo Nacional de Ciencia y Tecnología;2.200,42;2.200.420
28.06;SECRETARÍA GENERAL DE INVESTIGACIÓN;44905;Instituto de Astrofísica de Canarias;10.000,00;10.000.000
28.06;SECRETARÍA GENERAL DE INVESTIGACIÓN;44906;IAC – Red de Infraestructuras de Astronomía;60;60.000
28.06;SECRETARÍA GENERAL DE INVESTIGACIÓN;48;A familias e instituciones sin fines de lucro;800;800.000
28.06;SECRETARÍA GENERAL DE INVESTIGACIÓN;482;Premios Nacionales de Investigación;600;600.000
28.06;SECRETARÍA GENERAL DE INVESTIGACIÓN;483;Congreso Internacional de Botánica;150;150.000
28.06;SECRETARÍA GENERAL DE INVESTIGACIÓN;484;Confederación de Sociedades Científicas;50;50.000
28.06;SECRETARÍA GENERAL DE INVESTIGACIÓN;—;TOTAL TRANSFERENCIAS CORRIENTES;14.260,42;14.260.420
28.06;SECRETARÍA GENERAL DE INVESTIGACIÓN;6;INVERSIONES REALES;300;300.000
28.06;SECRETARÍA GENERAL DE INVESTIGACIÓN;74;A entidades del Sector Público Estatal;510;510.000
28.06;SECRETARÍA GENERAL DE INVESTIGACIÓN;74902;FECYT – Museo Nacional de Ciencia y Tecnología;360;360.000
28.06;SECRETARÍA GENERAL DE INVESTIGACIÓN;74916;Instituto de Astrofísica de Canarias;150;150.000
28.06;SECRETARÍA GENERAL DE INVESTIGACIÓN;75;A Comunidades Autónomas;49.264,50;49.264.500
28.06;SECRETARÍA GENERAL DE INVESTIGACIÓN;750;Proyectos de I+D en cooperación con comunidades;49.264,50;49.264.500
28.06;SECRETARÍA GENERAL DE INVESTIGACIÓN;78;A familias e instituciones sin fines de lucro;61.000,00;61.000.000
28.06;SECRETARÍA GENERAL DE INVESTIGACIÓN;782;Acciones de Política Científica;61.000,00;61.000.000
28.06;SECRETARÍA GENERAL DE INVESTIGACIÓN;—;TOTAL TRANSFERENCIAS DE CAPITAL;110.774,50;110.774.500
28.06;SECRETARÍA GENERAL DE INVESTIGACIÓN;—;TOTAL SECRETARÍA GENERAL DE INVESTIGACIÓN;138.044,75;138.044.750
28.07;DIRECCIÓN GENERAL DE PLANIFICACIÓN DE LA INVESTIGACIÓN;10;Altos cargos;61,04;61.040
28.07;DIRECCIÓN GENERAL DE PLANIFICACIÓN DE LA INVESTIGACIÓN;12;Funcionarios;2.020,27;2.020.270
28.07;DIRECCIÓN GENERAL DE PLANIFICACIÓN DE LA INVESTIGACIÓN;13;Laborales;91,33;91.330
28.07;DIRECCIÓN GENERAL DE PLANIFICACIÓN DE LA INVESTIGACIÓN;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;444,29;444.290
28.07;DIRECCIÓN GENERAL DE PLANIFICACIÓN DE LA INVESTIGACIÓN;16000;Seguridad Social;444,29;444.290
28.07;DIRECCIÓN GENERAL DE PLANIFICACIÓN DE LA INVESTIGACIÓN;—;TOTAL GASTOS DE PERSONAL;2.616,93;2.616.930
28.07;DIRECCIÓN GENERAL DE PLANIFICACIÓN DE LA INVESTIGACIÓN;22;Material, suministros y otros;232,53;232.530
28.07;DIRECCIÓN GENERAL DE PLANIFICACIÓN DE LA INVESTIGACIÓN;22601;Atenciones protocolarias y representativas;2,13;2.130
28.07;DIRECCIÓN GENERAL DE PLANIFICACIÓN DE LA INVESTIGACIÓN;23;Indemnizaciones por razón del servicio;294,94;294.940
28.07;DIRECCIÓN GENERAL DE PLANIFICACIÓN DE LA INVESTIGACIÓN;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;527,47;527.470
28.07;DIRECCIÓN GENERAL DE PLANIFICACIÓN DE LA INVESTIGACIÓN;44;A entidades del Sector Público Estatal;39.877,29;39.877.290
28.07;DIRECCIÓN GENERAL DE PLANIFICACIÓN DE LA INVESTIGACIÓN;44903;Red.es – RedIRIS;6.817,03;6.817.030
