Económica;Explicación;Orgánica 28.102 (SEPIE);Total (miles €);Total (€)
1;Gastos de personal;656,11;656,11;656.110,00 €
12;Funcionarios;330,75;330,75;330.750,00 €
13;Laborales;111,97;111,97;111.970,00 €
15;Incentivos al rendimiento;12,61;12,61;12.610,00 €
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;200,78;200,78;200.780,00 €
2;Gastos corrientes en bienes y servicios;1.088,37;1.088,37;1.088.370,00 €
20;Arrendamientos y cánones;5,25;5,25;5.250,00 €
21;Reparaciones, mantenimiento y conservación;24,15;24,15;24.150,00 €
22;Material, suministros y otros;985,47;985,47;985.470,00 €
23;Indemnizaciones por razón del servicio;68;68,25;68.250,00 €
24;Gastos de publicaciones;5,25;5,25;5.250,00 €
3;Gastos financieros;1;1;1.000,00 €
35;Intereses de demora y otros gastos financieros;1;1;1.000,00 €
4;Transferencias corrientes;178,64;178,64;178.640,00 €
44;A entidades del sector público estatal;1;1;1.000,00 €
45;A Comunidades Autónomas;65,70;65,7;65.700,00
47;A empresas privadas;18;18;18.000,00 €
48;A familias e instituciones sin fines de lucro;71,94;71,94;71.940,00 €
49;Al exterior;22;22;22.000,00 €
6;Inversiones reales;106,29;106,29;106.290,00 €
62;Inversión nueva asociada al funcionamiento operativo de los servicios;16,29;16,29;16.290,00 €
63;Inversión de reposición asociada al funcionamiento operativo de los servicios;55;55;55.000,00 €
64;Gastos de inversiones de carácter inmaterial;35;35;35.000,00 €
8;Activos financieros;8;8;8.000,00 €
83;Concesión de préstamos fuera del Sector Público;8;8;8.000,00 €
—;TOTAL PROGRAMA 144B;2.038,41;2.038,41;2.038.410,00 €
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
