;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 28 MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES;
;Programa: 46QF C17.I06 Reforma de capacidades del sistema nacional de ciencia, tecnología e innovación: Salud;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;28.50;28.107;28.301;;;Total;
6;INVERSIONES REALES;;64.117,05;35.126,00;;;99.243,05;
69; Inversiones reales. Mecanismo de Recuperación y Resiliencia;;64.117,05;35.126,00;;;99.243,05;
7;TRANSFERENCIAS DE CAPITAL;200.000,00;95.000,00;;;;295.000,00;
74; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;200.000,00;;;;;200.000,00;
75; A Comunidades Autónomas;;95.000,00;;;;95.000,00;
8;ACTIVOS FINANCIEROS;30.000,00;;;;;30.000,00;
87; Aportaciones patrimoniales;30.000,00;;;;;30.000,00;
;TOTAL;230.000,00;159.117,05;35.126,00;;;424.243,05;
;;



