Orgánica;Unidad;Tipo de Gasto;Total (miles euros);Total (euros)
28.06;Secretaría General de Investigación;Transferencias Corrientes;656.917,31;656.917.310
28.06;Secretaría General de Investigación;Transferencias de Capital;932.062,96;932.062.960
28.06;Secretaría General de Investigación;Total;1.588.980,27;1.588.980.270
28.07;Dirección General de Planificación;Transferencias Corrientes;44;44.000
28.07;Dirección General de Planificación;Transferencias de Capital;15;15.000
28.07;Dirección General de Planificación;Activos Financieros;4.163,97;4.163.970
28.07;Dirección General de Planificación;Total;4.222,97;4.222.970
28.09;Secretaría General de Universidades;Transferencias Corrientes;57.134,96;57.134.960
28.09;Secretaría General de Universidades;Transferencias de Capital;1.453,03;1.453.030
28.09;Secretaría General de Universidades;Total;58.587,99;58.587.990
28.50;Mecanismo de Recuperación y Resiliencia;Transferencias de Capital;866.436,11;866.436.110
28.50;Mecanismo de Recuperación y Resiliencia;Total;866.436,11;866.436.110,00
28.103;CIEMAT;Transferencias de Capital;28,65;28.650,00
28.103;CIEMAT;Pasivos Financieros;450;450.000
28.103;CIEMAT;Total;478,65;478.650
28.107;Instituto de Salud Carlos III;Transferencias de Capital;248,66;248.660
28.107;Instituto de Salud Carlos III;Total;248,66;248.660,00
28.301;CSIC;Transferencias Corrientes;2.671,95;2.671.950
28.301;CSIC;Total;2.671,95;2.671.950,00
28.303;Agencia Estatal de Investigación;Transferencias de Capital;88.686,40;88.686.400,00
28.303;Agencia Estatal de Investigación;Total;88.686,40;88.686.400
;;Transferencias y libramientos internos;2.610.313,00;2.610.313.000
