;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 28 MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES;
;Programa: 467C Investigación y desarrollo tecnológico-industrial;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;28.08;;Total;
1;GASTOS DE PERSONAL;2.442,46;;2.442,46;
10; Altos cargos;71,16;;71,16;
12; Funcionarios;1.891,98;;1.891,98;
13; Laborales;219,40;;219,40;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;259,92;;259,92;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;2.538,68;;2.538,68;
22; Material, suministros y otros;2.326,74;;2.326,74;
23; Indemnizaciones por razón del servicio;211,94;;211,94;
3;GASTOS FINANCIEROS;5,00;;5,00;
35; Intereses de demora y otros gastos financieros;5,00;;5,00;
4;TRANSFERENCIAS CORRIENTES;17.422,64;;17.422,64;
44; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;11.748,07;;11.748,07;
46; A Entidades Locales;5.153,85;;5.153,85;
47; A empresas privadas;50,00;;50,00;
48; A familias e instituciones sin fines de lucro;250,00;;250,00;
49; Al exterior;220,72;;220,72;
6;INVERSIONES REALES;545,75;;545,75;
64; Gastos de inversiones de carácter inmaterial;545,75;;545,75;
7;TRANSFERENCIAS DE CAPITAL;526.231,05;;526.231,05;
74; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;513.831,05;;513.831,05;
75; A Comunidades Autónomas;8.000,00;;8.000,00;
77; A empresas privadas;3.000,00;;3.000,00;
78; A familias e instituciones sin fines de lucro;1.400,00;;1.400,00;
8;ACTIVOS FINANCIEROS;938.270,00;;938.270,00;
82; Concesión de préstamos al Sector Público;253.000,00;;253.000,00;
87; Aportaciones patrimoniales;685.270,00;;685.270,00;
;TOTAL;1.487.455,58;;1.487.455,58;
;;



