Económica;Explicación;28.06;28.07;28.303;Total (miles €);Total (€)
1;GASTOS DE PERSONAL;2.319,74;2.616,93;12.345,37;17.282,04;17.282.040
10;Altos cargos;71,16;61,04;87,52;219,72;219.720
12;Funcionarios;1.738,95;2.020,27;8.678,77;12.437,99;12.437.990
13;Laborales;205,09;91,33;1.183,84;1.480,26;1.480.260
15;Incentivos al rendimiento;—;—;924,43;924,43;924.430
16;Cuotas, prestaciones y gastos sociales;304,54;444,29;1.470,81;2.219,64;2.219.640
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;10.389,09;527,47;19.002,35;29.918,91;29.918.910
20;Arrendamientos y cánones;—;—;33,65;33,65;33.650
21;Reparaciones, mantenimiento y conservación;—;—;278,89;278,89;278.890
22;Material, suministros y otros;10.207,01;232,53;9.252;19.691,48;19.691.480
23;Indemnizaciones por razón del servicio;182,08;294,94;9.437,87;9.914,89;9.914.890
3;GASTOS FINANCIEROS;1;—;300;301;301.000
35;Intereses de demora y otros gastos financieros;1,00;—;300,00;301;301.000
4;TRANSFERENCIAS CORRIENTES;14.260,42;196.381,09;85,00;210.726,51;210.726.510
44;A entidades del Sector Público Estatal;13.460,42;39.877,29;—;53.337,71;53.337.710
45;A Comunidades Autónomas;—;7.735,00;—;7.735,00;7.735.000
48;A familias e instituciones sin fines de lucro;800,00;176;—;976;976.000
49;Al exterior;—;148.592,80;85;148.677,80;148.677.800
6;INVERSIONES REALES;300;543,14;70;913,14;913.140
62;Inversión nueva asociada al funcionamiento;300,00;3,14;—;303,14;303.140
64;Gastos de inversiones inmateriales;—;540;70,00;610;610.000
7;TRANSFERENCIAS DE CAPITAL;110.774,50;53.715,75;734.980,44;899.470,69;899.470.690
74;A entidades del Sector Público Estatal;510;24.875,73;21.950,05;47.335,78;47.335.780
75;A Comunidades Autónomas;49.264,50;8.500,00;575.631,62;633.396,12;633.396.120
76;A Entidades Locales;—;13.000,00;380,82;13.380,82;13.380.820
77;A empresas privadas;—;—;18.421,30;18.421,30;18.421.300
78;A familias e instituciones sin fines de lucro;61.000,00;—;118.596,65;179.596,65;179.596.650
79;Al exterior;—;7.340,02;—;7.340,02;7.340.020
8;ACTIVOS FINANCIEROS;—;1.857.464,56;20;1.857.484,56;1.857.484.560
82;Préstamos al Sector Público;—;1.404.696,94;—;1.404.696,94;1.404.696.940
83;Préstamos fuera del Sector Público;—;452.767,62;20;452.787,62;452.787.620
—;TOTAL GENERAL;138.044,75;2.111.248,94;766.803,16;3.016.096,85;3.016.096.850
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
