Servicio;Programa;Económica;Explicación;Total (miles euros);Total (euros)
1;143A;12;Funcionarios;776,92;776.920
1;143A;16;Cuotas, prestaciones y gastos sociales;117,06;117.060
1;143A;—;TOTAL GASTOS DE PERSONAL;893,98;893.980
1;143A;49;Al exterior;300;300.000
1;143A;—;TOTAL TRANSFERENCIAS CORRIENTES;300;300.000
1;143A;—;TOTAL Cooperación para el desarrollo;1.193,98;1.193.980
1;281M;10–16;Gastos de personal;48.258,59;48.258.590
1;281M;20–24;Gastos corrientes en bienes y servicios;27.639,46;27.639.460
1;281M;35;Gastos financieros;43,66;43.660
1;281M;48;A familias e instituciones sin fines de lucro;21.099,29;21.099.290
1;281M;62–64;Inversiones reales;17.401,09;17.401.090
1;281M;83–84;Activos financieros;64,97;64.970
1;281M;—;TOTAL Dirección y Servicios Generales de Trabajo y Economía Social;114.507,06;114.507.060
1;000X;43;Transferencias corrientes;7.383,13;7.383.130
1;000X;73;Transferencias de capital;41,94;41.940
1;000X;—;TOTAL Transferencias y libramientos internos;7.425,07;7.425.070
2;241N;10;Altos cargos;61,04;61.040
2;241N;12;Funcionarios;1.427,06;1.427.060
2;241N;16;Cuotas, prestaciones y gastos sociales;230;230.000
2;241N;—;TOTAL GASTOS DE PERSONAL;1.718,10;1.718.100
2;241N;22;Material, suministros y otros;150;150.000
2;241N;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;150;150.000
2;241N;44;A entidades públicas estatales;50;50.000
2;241N;47;A empresas privadas;9,6;9.600
2;241N;484;Subvenciones para formación y fomento;3.070,77;3.070.770
2;241N;485;Subvenciones para funcionamiento de asociaciones;1.813,01;1.813.010
2;241N;489;Estrategia Española de Economía Social 2021–2027;3.000,00;3.000.000
2;241N;—;TOTAL TRANSFERENCIAS CORRIENTES;7.943,38;7.943.380
2;241N;—;TOTAL Desarrollo de la economía social y de la responsabilidad social de las empresas;9.811,48;9.811.480
2;—;—;TOTAL SECRETARÍA DE ESTADO DE ECONOMÍA SOCIAL;9.811,48;9.811.480
3;241O;22;Material, suministros y otros;3.143,04;3.143.040
3;241O;44–48;Transferencias corrientes;3.696,12;3.696.120
3;241O;—;TOTAL Desarrollo del trabajo autónomo;6.839,16;6.839.160
3;281M;10–16;Gastos de personal;4.395,68;4.395.680
3;281M;—;TOTAL Dirección y Servicios Generales de Trabajo y Economía Social;4.395,68;4.395.680
3;494M;10–16;Gastos de personal;3.250,75;3.250.750
3;494M;44–49;Transferencias corrientes;9.725,10;9.725.100
3;494M;74;Transferencias de capital;90;90.000
3;494M;—;TOTAL Administración de las relaciones laborales y condiciones de trabajo;13.065,85;13.065.850
3;000X;41–42;Transferencias corrientes;314.258,25;314.258.250
3;000X;71;Transferencias de capital;5.292,09;5.292.090
3;000X;—;TOTAL Transferencias y libramientos internos;319.550,34;319.550.340
;;;TOTAL SECRETARÍA DE ESTADO DE TRABAJO;343.851,03;343.851.030,00
;;;TOTAL MINISTERIO DE TRABAJO Y ECONOMÍA SOCIAL;476.788,62;476.788.620,00
 ; ;;;;
;;;;;
 ; ;;;;
 ; ;;;;
