;PRESUPUESTOS GENERALES DEL ESTADO;;;;;
;ESTADO;;;;;
;;;;;;
;;;;;;
;Sección: 21 MINISTERIO DE AGRICULTURA, PESCA Y ALIMENTACIÓN;;;;;
;PRESUPUESTO 2023-P;;;;;
;;;;;;
;(Miles de euros);;;;;
;;;;;;
;Servicio;Programa;Económica;Explicación;;Total
v;01;;;MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;;
v;;411M;;Dirección y Servicios Generales de Agricultura, Pesca y Alimentación;;
v;;;1;GASTOS DE PERSONAL;;
v;;;10;Altos cargos;;208,53
;;;100;Retribuciones básicas y otras remuneraciones;;208,53
;;;10000; Retribuciones básicas;114,59;
;;;10001; Retribuciones complementarias;93,94;
v;;;11;Personal eventual;;519,82
;;;110;Retribuciones básicas y otras remuneraciones;;519,82
;;;11000; Retribuciones básicas;199,18;
;;;11001; Retribuciones complementarias;320,64;
v;;;12;Funcionarios;;14.827,27
;;;120;Retribuciones básicas;;2.695,30
;;;12000; Sueldos del grupo A1 y grupo A;1.040,49;
;;;12001; Sueldos del grupo A2 y grupo B;257,05;
;;;12002; Sueldos del grupo C1 y grupo C;183,36;
;;;12003; Sueldos del grupo C2 y grupo D;160,63;
;;;12005; Trienios;482,17;
;;;12006; Pagas extraordinarias;571,6;
;;;121;Retribuciones complementarias;;7.119,82
;;;12100; Complemento de destino;1.441,62;
;;;12101; Complemento específico;1.714,20;
;;;12181; Necesidades adicionales;3.964,00;
;;;123;Indemnizaciones percibidas por destino en el extranjero;;4.521,90
;;;12300; Indemnización por destino en el extranjero;4.481,90;
;;;12301; Indemnización por educación;40;
;;;124;Retribuciones de funcionarios en prácticas;;490,25
;;;12400; Sueldos del grupo A1 y grupo A;303,52;
;;;12401; Sueldos del grupo A2 y grupo B;102,06;
;;;12406; Pagas extraordinarias;84,67;
v;;;13;Laborales;;702,04
;;;130;Laboral fijo;;702,04
;;;13000; Retribuciones básicas;702,04;
v;;;15;Incentivos al rendimiento;;7.398,21
v;;;150;Productividad;;6.774,05
v;;;151;Gratificaciones;;624,16
v;;;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;2.250,42
;;;160;Cuotas sociales;;1.085,78
v;;;16000; Seguridad Social;920,78;
;;;16009; Otras;165;
;;;162;Gastos sociales del personal;;1.164,64
v;;;16200; Formación y perfeccionamiento del personal;323,27;
v;;;16201; Economatos y comedores;8,04;
;;;16202; Transporte de personal;62;
v;;;16204; Acción social;231,53;
;;;16205; Seguros;167,8;
;;;16209; Otros;372;
;;;;TOTAL GASTOS DE PERSONAL;;25.906,29
 ; ;;;;;
v;;;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;
v;;;20;Arrendamientos y cánones;;1.570,00
v;;;202;Arrendamientos de edificios y otras construcciones;;1.110,00
;;;203;Arrendamientos de maquinaria, instalaciones y utillaje;;15
;;;204;Arrendamientos de medios de transporte;;400
;;;205;Arrendamientos de mobiliario y enseres;;20
;;;209;Cánones;;25
v;;;21;Reparaciones, mantenimiento y conservación;;4.083,71
;;;210;Infraestructura y bienes naturales;;190
;;;212;Edificios y otras construcciones;;365
;;;213;Maquinaria, instalaciones y utillaje;;2.700,00
;;;214;Elementos de transporte;;15
;;;215;Mobiliario y enseres;;15
;;;216;Equipos para procesos de la información;;756,71
;;;218;Bienes situados en el exterior;;27
;;;219;Otro inmovilizado material;;15
v;;;22;Material, suministros y otros;;12.462,38
;;;220;Material de oficina;;265
;;;22000; Ordinario no inventariable;85;
;;;22001; Prensa, revistas, libros y otras publicaciones;50;
;;;22002; Material informático no inventariable;80;
;;;22015; Material de oficina en el exterior;50;
;;;221;Suministros;;5.281,50
;;;22100; Energía eléctrica;2.100,00;
;;;22101; Agua;15;
;;;22102; Gas;110;
;;;22103; Combustible;200;
;;;22104; Vestuario;25;
;;;22105; Alimentación;15;
;;;22106; Productos farmacéuticos y material sanitario;2.250,00;
v;;;22109; Labores Fábrica Nacional Moneda y Timbre;110;
;;;22111; Suministros de repuestos de maquinaria, utillaje y elementos de transporte;75;
;;;22112; Suministros de material electrónico, eléctrico y de comunicaciones;65;
