;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen económico por programas del presupuesto de gastos;
;;
;Sección: 18 MINISTERIO DE EDUCACIÓN, FORMACIÓN PROFESIONAL Y DEPORTES;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Clasif. por programas;Explicación;Cap. 1;Cap. 2;Cap. 3;Cap. 4;Cap. 6;Cap. 7;Cap. 8;Cap. 1 a 8;Total;
14SB; C19.I02 Transformación Digital de la Educación. Política Exterior;;72,60;;;251,51;;;324,11;324,11;
144B; Cooperación, promoción y difusión educativa en el exterior;1.348,79;601,54;;9.292,92;;;;11.243,25;11.243,25;
24TA; C20.I01 Reskilling y upskilling de la población activa ligado a cualificaciones profesionales. Fomento del Empleo;;;;73.500,00;;;;73.500,00;73.500,00;
241B; Formación Profesional para el Empleo;1.953,50;20.787,53;;1.150.576,33;5.068,90;;;1.178.386,26;1.178.386,26;
32SA; C19.I01 Competencias digitales transversales. Educación;;;;42.000,00;;;;42.000,00;42.000,00;
32SB; C19.I02 Transformación Digital de la Educación. Educación;1.292,82;769,55;;;57.741,64;;;59.804,01;59.804,01;
32TA; C20.I01 Reskilling y upskilling de la población activa ligado a cualificaciones profesionales. Educación;;5.647,13;;433.153,29;;;;438.800,42;438.800,42;
32TB; C20.I02 Transformación Digital de la Formación Profesional;;;;142.615,67;444,20;;;143.059,87;143.059,87;
32TC; C20.I03 Innovación e internacionalización de la formación profesional;6.020,06;1.047,60;;186.135,57;;;;193.203,23;193.203,23;
32TR; C20.R01 Plan de modernización de la Formación Profesional;99,56;300,44;;;;;;400,00;400,00;
32UA; C21.I01 Creación de plazas del Primer Ciclo de Educación Infantil de titularidad pública (prioritariamente de 1 y 2 años): Reforma/rehabilitación y equipamiento para nuevas unidades. nueva construcción y equipamiento. y, gastos de personal y otros gastos.;;;;134.774,30;;1.435,70;;136.210,00;136.210,00;
32UB; C21.I02 Programa de Orientación, Avance y Enriquecimiento Educativo en centros de especial complejidad educativa (Programa #PROA+).;1.435,71;;;119.190,79;;;;120.626,50;120.626,50;
32UC; C21.I03 Creación de Unidades de Acompañamiento y Orientación Personal y Familiar del alumnado educativamente vulnerable, en los servicios educativos o psicopedagógicos situados en zonas y distritos escolares.;895,52;;;55.039,40;;;;55.934,92;55.934,92;
32US; C21.R02 Diseño y aplicación de nuevo modelo curricular por competencias clave, priorizando aprendizajes fundamentales, y regulación de una ordenación académica inclusiva;;400,00;;;;;;400,00;400,00;
321M; Dirección y Servicios Generales de Educación, Formación Profesional y Deportes;64.439,36;14.703,98;285,26;477,00;4.684,05;;86,06;84.675,71;84.675,71;
321N; Formación permanente del profesorado de Educación;3,87;800,61;;1.032,96;10,00;;;1.847,44;1.847,44;
322A; Educación Infantil y Primaria;178.677,71;531,78;;15.485,89;;;;194.695,38;194.695,38;
322B; Educación Secundaria, Formación Profesional y Escuelas Oficiales de Idiomas;93.693,48;15.407,32;;41.565,16;991,84;;432.090,70;583.748,50;583.748,50;
322E; Enseñanzas artísticas;4.459,14;298,83;;;;;;4.757,97;4.757,97;
322F; Educación en el exterior;100.576,56;9.484,83;42,28;28,00;25,00;;;110.156,67;110.156,67;
322G; Educación compensatoria;2.078,06;389,91;;1.676,10;;;;4.144,07;4.144,07;
322L; Inversiones en centros educativos y otras actividades educativas;23.589,29;10.797,39;;58.454,46;2.865,30;301.000,00;;396.706,44;396.706,44;
323M; Becas y ayudas a estudiantes;1.136,35;172,02;1,00;2.548.474,73;;;;2.549.784,10;2.549.784,10;
33ZA; C26.I01 Plan de Digitalización del Sector Deporte;;43.279,13;;2.450,00;1.212,80;10.450,00;;57.391,93;57.391,93;
33ZB; C26.I02 Plan de Transición Ecológica de Instalaciones Deportivas;;2.271,54;;2.000,00;26.641,65;38.085,00;;68.998,19;68.998,19;
33ZC; C26.I03 Plan Social del Sector Deporte;;4.000,00;;6.240,00;;5.760,00;;16.000,00;16.000,00;
336A; Fomento y apoyo de las actividades deportivas;15.044,17;18.177,84;160,00;192.482,09;4.234,11;17.832,66;655,00;248.585,87;248.585,87;
;TOTAL CONSOLIDADO;496.743,95;149.941,57;488,54;5.216.644,66;104.171,00;374.563,36;432.831,76;6.775.384,84;6.775.384,84;
000X; Transferencias y libramientos internos;;;;215.994,69;;130.409,76;;346.404,45;346.404,45;
;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;;;;215.994,69;;130.409,76;;346.404,45;346.404,45;
;TOTAL;496.743,95;149.941,57;488,54;5.432.639,35;104.171,00;504.973,12;432.831,76;7.121.789,29;7.121.789,29;
;;



