;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO;
;;
;;
;Sección: 29 MINISTERIO DE DERECHOS SOCIALES, CONSUMO Y AGENDA 2030;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
;Servicio;Programa;Económica;Explicación;;Total;
v;01;;;MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;;;
v;;239N;;Dirección y Servicios Generales de Derechos Sociales y Agenda 2030;;;
v;;;1;GASTOS DE PERSONAL;;;
v;;;10;Altos cargos;;208,56;
;;;100;Retribuciones básicas y otras remuneraciones;;208,56;
;;;10000; Retribuciones básicas;114,61;;
;;;10001; Retribuciones complementarias;93,95;;
v;;;11;Personal eventual;;517,75;
;;;110;Retribuciones básicas y otras remuneraciones;;517,75;
;;;11000; Retribuciones básicas;197,25;;
;;;11001; Retribuciones complementarias;320,50;;
v;;;12;Funcionarios;;9.640,93;
;;;120;Retribuciones básicas;;2.880,26;
;;;12000; Sueldos del grupo A1 y grupo A;609,26;;
;;;12001; Sueldos del grupo A2 y grupo B;359,80;;
;;;12002; Sueldos del grupo C1 y grupo C;559,70;;
;;;12003; Sueldos del grupo C2 y grupo D;321,20;;
;;;12004; Sueldos personal de agrupaciones profesionales y grupo E;7,35;;
;;;12005; Trienios;500,00;;
;;;12006; Pagas extraordinarias;522,95;;
;;;121;Retribuciones complementarias;;6.760,67;
;;;12100; Complemento de destino;1.267,65;;
;;;12101; Complemento específico;1.704,02;;
;;;12181; Necesidades adicionales;3.789,00;;
v;;;13;Laborales;;2.177,35;
;;;130;Laboral fijo;;2.177,35;
;;;13000; Retribuciones básicas;1.704,53;;
;;;13001; Otras remuneraciones;472,82;;
v;;;15;Incentivos al rendimiento;;3.041,11;
v;;;150;Productividad;;2.999,86;
v;;;151;Gratificaciones;;41,25;
v;;;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;1.995,37;
;;;160;Cuotas sociales;;1.532,13;
v;;;16000; Seguridad Social;1.532,13;;
;;;162;Gastos sociales del personal;;463,24;
v;;;16200; Formación y perfeccionamiento del personal;138,08;;
v;;;16204; Acción social;68,50;;
;;;16205; Seguros;30,00;;
;;;16209; Otros;226,66;;
;;;;TOTAL GASTOS DE PERSONAL;;17.581,07;
 ; ;;;;;;
v;;;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
v;;;20;Arrendamientos y cánones;;1.042,30;
v;;;202;Arrendamientos de edificios y otras construcciones;;1.023,99;
;;;205;Arrendamientos de mobiliario y enseres;;7,51;
;;;206;Arrendamientos de equipos para procesos de información;;10,80;
v;;;21;Reparaciones, mantenimiento y conservación;;465,86;
;;;212;Edificios y otras construcciones;;31,54;
;;;213;Maquinaria, instalaciones y utillaje;;194,49;
;;;214;Elementos de transporte;;0,27;
;;;215;Mobiliario y enseres;;86,52;
;;;216;Equipos para procesos de la información;;153,04;
v;;;22;Material, suministros y otros;;5.892,63;
;;;220;Material de oficina;;127,04;
;;;22000; Ordinario no inventariable;50,00;;
;;;22001; Prensa, revistas, libros y otras publicaciones;3,70;;
;;;22002; Material informático no inventariable;73,34;;
;;;221;Suministros;;2.561,25;
;;;22100; Energía eléctrica;2.006,46;;
;;;22101; Agua;27,20;;
;;;22102; Gas;39,62;;
;;;22103; Combustible;258,87;;
;;;22104; Vestuario;61,52;;
;;;22106; Productos farmacéuticos y material sanitario;20,00;;
v;;;22109; Labores Fábrica Nacional Moneda y Timbre;0,54;;
;;;22111; Suministros de repuestos de maquinaria, utillaje y elementos de transporte;32,16;;
;;;22112; Suministros de material electrónico, eléctrico y de comunicaciones;66,27;;
;;;22199; Otros suministros;48,61;;
;;;222;Comunicaciones;;38,23;
