Económica;Explicación;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;41.772,03;41.772.030
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;25.641,80;25.641.800
3;GASTOS FINANCIEROS;5;5.000
4;TRANSFERENCIAS CORRIENTES;4.145.544,13;4.145.544.130
—;TOTAL OPERACIONES CORRIENTES;4.212.962,96;4.212.962.960
6;INVERSIONES REALES;6.753,85;6.753.850
7;TRANSFERENCIAS DE CAPITAL;21.816,95;21.816.950
—;TOTAL OPERACIONES DE CAPITAL;28.570,80;28.570.800
—;TOTAL OPERACIONES NO FINANCIERAS;4.241.533,76;4.241.533.760
8;ACTIVOS FINANCIEROS;92,88;92.880
—;TOTAL PRESUPUESTO;4.241.626,64;4.241.626.640
4;TRANSFERENCIAS CORRIENTES (entre subsectores);–3.678.265,00;–3.678.265.000
7;TRANSFERENCIAS DE CAPITAL (entre subsectores);–13.723,95;–13.723.950
—;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;–3.691.988,95;–3.691.988.950
—;TOTAL CONSOLIDADO;549.637,69;549.637.690
