Servicio;Programa;Económica;Explicación;Total (miles €);Total (€)
1;239N;1;GASTOS DE PERSONAL;17.581,07;17.581.070
1;239N;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;7.728,74;7.728.740
1;239N;6;INVERSIONES REALES;1.942,00;1.942.000
1;239N;8;ACTIVOS FINANCIEROS;42,88;42.880
—;—;—;TOTAL Dirección y Servicios Generales de Derechos Sociales y Agenda 2030;27.294,69;27.294.690
1;498M;1;GASTOS DE PERSONAL;845,94;845.940
1;498M;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;1.400,13;1.400.130
1;498M;6;INVERSIONES REALES;90;90.000
1;498M;8;ACTIVOS FINANCIEROS;50;50.000
—;—;—;TOTAL Dirección y Servicios Generales de Consumo;2.386,07;2.386.070
—;—;—;TOTAL MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;29.680,76;29.680.760
2;239N;1;GASTOS DE PERSONAL;2.069,02;2.069.020
2;239N;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;210,95;210.950
2;239N;4;TRANSFERENCIAS CORRIENTES;11,3;11.300
—;—;—;TOTAL Dirección y Servicios Generales de Derechos Sociales y Agenda 2030;2.291,27;2.291.270
2;498M;1;GASTOS DE PERSONAL;158,4;158.400
2;498M;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;69;69.000
—;—;—;TOTAL Dirección y Servicios Generales de Consumo;227,4;227.400
—;—;—;TOTAL SECRETARÍA GENERAL TÉCNICA;2.518,67;2.518.670
3;231F;1;GASTOS DE PERSONAL;1.711,10;1.711.100
3;231F;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;261,33;261.330
3;231F;7;TRANSFERENCIAS DE CAPITAL;1.093,00;1.093.000
—;—;—;TOTAL Otros servicios sociales del Estado;3.065,43;3.065.430
3;000X;4;TRANSFERENCIAS CORRIENTES;3.666.553,33;3.666.553.330
3;000X;7;TRANSFERENCIAS DE CAPITAL;11.382,50;11.382.500
—;—;—;TOTAL Transferencias y libramientos internos;3.677.935,83;3.677.935.830
—;—;—;TOTAL SECRETARÍA DE ESTADO DE DERECHOS SOCIALES;3.681.001,26;3.681.001.260
