Orgánica;Económica;Explicación;Total (miles euros);Total (euros)
21.01;4;Transferencias corrientes;1,5;1.500,00
21.01;440;Consorcio de Compensación de Seguros – Seguro Agrario Combinado;1,5;1.500,00
21.102;1;Gastos de personal;2.205,96;2.205.960,00
21.102;150;Productividad;154,5;154.500,00
21.102;151;Gratificaciones;20,54;20.540,00
21.102;16000;Seguridad Social;197,47;197.470,00
21.102;16200;Formación y perfeccionamiento del personal;10,5;10.500,00
21.102;16201;Economatos y comedores;0,24;240,00
21.102;16204;Acción social;15,95;15.950,00
21.102;2;Gastos corrientes en bienes y servicios;1.277,29;1.277.290,00
21.102;3;Gastos financieros;15;15.000,00
21.102;352;Intereses de demora;15;15.000,00
21.102;4;Transferencias corrientes;318.855,15;318.855.150,00
21.102;450;CEIGRAM – funcionamiento;126;126.000,00
21.102;471;Plan Anual de Seguros Agrarios y liquidación de planes anteriores;317.735,35;317.735.350,00
21.102;483;Familias e instituciones sin fines de lucro;28,8;28.800,00
21.102;484;ASAJA – apoyo al seguro agrario;218,5;218.500,00
21.102;485;CAE – apoyo al seguro agrario;218,5;218.500,00
21.102;486;COAG-IR – apoyo al seguro agrario;218,5;218.500,00
21.102;487;UPA – apoyo al seguro agrario;218,5;218.500,00
21.102;488;UdU – actuaciones de apoyo al seguro agrario;91;91.000,00
21.102;6;Inversiones reales;601,24;601.240,00
21.102;8;Activos financieros;18,16;18.160,00
21.102;830;Préstamos a corto plazo;3;3.000,00
21.102;831;Préstamos a largo plazo;15,16;15.160,00
—;—;TOTAL PROGRAMA 416A – Previsión de riesgos en las producciones agrarias y pesqueras;322.974,30;322.974.300,00
