Económica;Explicación;Orgánica (21.07);Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;21.07;6.478,01;6.478.010,00
10;Altos cargos;21.07;61,02;61.020,00
12;Funcionarios;21.07;5.551,26;5.551.260,00
13;Laborales;21.07;34,05;34.050,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;21.07;831,68;831.680,00
4;TRANSFERENCIAS CORRIENTES;21.07;430;430.000,00
47;A empresas privadas;21.07;180;180.000,00
48;A familias e instituciones sin fines de lucro;21.07;250;250.000,00
6;INVERSIONES REALES;21.07;24.663,51;24.663.510,00
62;Inversión nueva asociada al funcionamiento operativo de los servicios;21.07;500;500.000,00
63;Inversión de reposición asociada al funcionamiento operativo de los servicios;21.07;950;950.000,00
64;Gastos de inversiones de carácter inmaterial;21.07;23.213,51;23.213.510,00
7;TRANSFERENCIAS DE CAPITAL;21.07;2.815,73;2.815.730,00
75;A Comunidades Autónomas;21.07;200;200.000,00
77;A empresas privadas;21.07;600;600.000,00
78;A familias e instituciones sin fines de lucro;21.07;2.015,73;2.015.730,00
—;TOTAL PROGRAMA 413A – Competitividad industria agroalimentaria y calidad alimentaria;21.07;34.387,25;34.387.250,00
