;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 21 MINISTERIO DE AGRICULTURA, PESCA Y ALIMENTACIÓN;
;Programa: 411M Dirección y Servicios Generales de Agricultura, Pesca y Alimentación;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;21.01;21.02;21.03;21.04;21.09;Total;
1;GASTOS DE PERSONAL;25.906,29;3.236,39;9.917,58;1.845,47;1.830,73;42.736,46;
10; Altos cargos;208,53;61,02;61,02;71,15;71,15;472,87;
11; Personal eventual;519,82;;;;;519,82;
12; Funcionarios;14.827,27;2.573,03;6.677,38;1.584,77;1.483,12;27.145,57;
13; Laborales;702,04;248,16;1.952,39;;65,96;2.968,55;
15; Incentivos al rendimiento;7.398,21;;;;;7.398,21;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;2.250,42;354,18;1.226,79;189,55;210,50;4.231,44;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;20.861,92;;;;;20.861,92;
20; Arrendamientos y cánones;1.570,00;;;;;1.570,00;
21; Reparaciones, mantenimiento y conservación;4.083,71;;;;;4.083,71;
22; Material, suministros y otros;12.462,38;;;;;12.462,38;
23; Indemnizaciones por razón del servicio;2.425,83;;;;;2.425,83;
24; Gastos de publicaciones;320,00;;;;;320,00;
3;GASTOS FINANCIEROS;23,17;;;16,18;;39,35;
35; Intereses de demora y otros gastos financieros;23,17;;;16,18;;39,35;
4;TRANSFERENCIAS CORRIENTES;19.502,25;33,00;;70,00;;19.605,25;
47; A empresas privadas;10.073,32;;;;;10.073,32;
48; A familias e instituciones sin fines de lucro;7.208,99;33,00;;70,00;;7.311,99;
49; Al exterior;2.219,94;;;;;2.219,94;
6;INVERSIONES REALES;9.897,44;155,00;8.791,36;4.474,35;;23.318,15;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;216,46;65,00;;;;281,46;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;2.981,98;;3.595,00;;;6.576,98;
64; Gastos de inversiones de carácter inmaterial;6.699,00;90,00;5.196,36;4.474,35;;16.459,71;
7;TRANSFERENCIAS DE CAPITAL;4.201,00;;;;;4.201,00;
75; A Comunidades Autónomas;101,00;;;;;101,00;
77; A empresas privadas;4.100,00;;;;;4.100,00;
8;ACTIVOS FINANCIEROS;25.134,20;;;;;25.134,20;
82; Concesión de préstamos al Sector Público;25.000,00;;;;;25.000,00;
83; Concesión de préstamos fuera del Sector Público;124,20;;;;;124,20;
84; Constitución de depósitos y fianzas;10,00;;;;;10,00;
;TOTAL;105.526,27;3.424,39;18.708,94;6.406,00;1.830,73;135.896,33;
;;



