;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 21 MINISTERIO DE AGRICULTURA, PESCA Y ALIMENTACIÓN;
;Programa: 414A Gestión de recursos hídricos para el regadío, caminos naturales y otras infraestructuras rurales;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;21.08;;Total;
1;GASTOS DE PERSONAL;1.830,53;;1.830,53;
12; Funcionarios;1.420,62;;1.420,62;
13; Laborales;185,21;;185,21;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;224,70;;224,70;
4;TRANSFERENCIAS CORRIENTES;100,00;;100,00;
48; A familias e instituciones sin fines de lucro;100,00;;100,00;
6;INVERSIONES REALES;58.021,94;;58.021,94;
60; Inversión nueva en infraestructuras y bienes destinados al uso general;43.532,47;;43.532,47;
61; Inversión de reposición en infraestructuras y bienes destinados al uso general;9.859,00;;9.859,00;
64; Gastos de inversiones de carácter inmaterial;4.630,47;;4.630,47;
7;TRANSFERENCIAS DE CAPITAL;198,00;;198,00;
76; A Entidades Locales;198,00;;198,00;
8;ACTIVOS FINANCIEROS;96.872,10;;96.872,10;
85; Adquisición de acciones y participaciones del Sector Público;96.872,10;;96.872,10;
;TOTAL;157.022,57;;157.022,57;
;;



