Económica;Explicación;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;1.830,53;1.830.530,00
12;Funcionarios;1.420,62;1.420.620,00
13;Laborales;185,21;185.210,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;224,7;224.700,00
4;TRANSFERENCIAS CORRIENTES;100;100.000,00
48;A familias e instituciones sin fines de lucro;100;100.000,00
484;FENACORE – formación y apoyo a Comunidades de Regantes;100;100.000,00
6;INVERSIONES REALES;58.021,94;58.021.940,00
7;TRANSFERENCIAS DE CAPITAL;198;198.000,00
76;A Entidades Locales;198;198.000,00
760;A ayuntamientos, diputaciones y otros entes locales;198;198.000,00
76002;Ayuntamiento de Castellar de la Ribera – asfaltado y adecuación de caminos;108;108.000,00
76003;San Martín de Torruella – mantenimiento camino rural Vilaclara;90;90.000,00
8;ACTIVOS FINANCIEROS;96.872,10;96.872.100,00
85;Adquisición de acciones y participaciones del Sector Público;96.872,10;96.872.100,00
851;Sociedad Estatal de Infraestructuras Agrarias, S.A. (SEIASA);96.872,10;96.872.100,00
—;TOTAL PROGRAMA 414A – Gestión de recursos hídricos y otras infraestructuras rurales;157.022,57;157.022.570,00
