;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 21 MINISTERIO DE AGRICULTURA, PESCA Y ALIMENTACIÓN;
;Programa: 412C Competitividad y calidad de la producción y los mercados agrarios;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;21.05;;Total;
1;GASTOS DE PERSONAL;5.016,96;;5.016,96;
10; Altos cargos;61,02;;61,02;
12; Funcionarios;4.546,44;;4.546,44;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;409,50;;409,50;
4;TRANSFERENCIAS CORRIENTES;1.095,60;;1.095,60;
44; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;500,00;;500,00;
47; A empresas privadas;445,60;;445,60;
48; A familias e instituciones sin fines de lucro;150,00;;150,00;
6;INVERSIONES REALES;7.454,71;;7.454,71;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;100,00;;100,00;
64; Gastos de inversiones de carácter inmaterial;7.354,71;;7.354,71;
7;TRANSFERENCIAS DE CAPITAL;44.887,00;;44.887,00;
75; A Comunidades Autónomas;30.302,00;;30.302,00;
77; A empresas privadas;9.550,00;;9.550,00;
78; A familias e instituciones sin fines de lucro;5.035,00;;5.035,00;
;TOTAL;58.454,27;;58.454,27;
;;



