Económica;Explicación;08.01 ;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;47.878,75;47.878,75;47.878.750,00
10;Altos cargos;3.027,17;3.027,17;3.027.170,00
11;Personal eventual;3.568,76;3.568,76;3.568.760,00
12;Funcionarios;32.695,62;32.695,62;32.695.620,00
13;Laborales;1.458,02;1.458,02;1.458.020,00
15;Incentivos al rendimiento;1.071,30;1.071,30;1.071.300,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;6.057,88;6.057,88;6.057.880,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;27.026,08;27.026,08;27.026.080,00
20;Arrendamientos y cánones;188,7;188,7;188.700,00
21;Reparaciones, mantenimiento y conservación;2.464,09;2.464,09;2.464.090,00
22;Material, suministros y otros;14.793,50;14.793,50;14.793.500,00
23;Indemnizaciones por razón del servicio;9.432,79;9.432,79;9.432.790,00
24;Gastos de publicaciones;147,00;147;147.000,00
4;TRANSFERENCIAS CORRIENTES;579,15;579,15;579.150,00
48;A familias e instituciones sin fines de lucro;548,60;548,6;548.600,00
49;Al exterior;30,55;30,55;30.550,00
6;INVERSIONES REALES;2.799,82;2.799,82;2.799.820,00
62;Inversión nueva funcionamiento operativo;2.242,62;2.242,62;2.242.620,00
63;Inversión de reposición funcionamiento operativo;557,20;557,2;557.200,00
8;ACTIVOS FINANCIEROS;50,00;50;50.000,00
83;Concesión de préstamos fuera del Sector Público;50,00;50;50.000,00
—;TOTAL CONSOLIDADO;—;78.333,80;78.333.800,00
—;TOTAL;—;78.333,80;78.333.800,00
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
