Orgánica;Económica;Explicación;Total (miles Euros);Total (euros)
14.01;10;Altos cargos;1.141,90;1.141.900,00
14.01;11;Personal eventual;1.101,77;1.101.770,00
14.01;12;Funcionarios;1.495.170,54;1.495.170.540,00
14.01;13;Laborales;71.477,70;71.477.700,00
14.01;15;Incentivos al rendimiento;180.168,06;180.168.060,00
14.01;150;Productividad;7.248,20;7.248.200,00
14.01;151;Gratificaciones;2.996,74;2.996.740,00
14.01;152;Productividad del Personal Estatutario;2.474,83;2.474.830,00
14.01;153;Complemento de dedicación especial;167.448,29;167.448.290,00
14.01;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;69.735,43;69.735.430,00
14.01;16000;Seguridad Social;46.555,83;46.555.830,00
14.01;16200;Formación y perfeccionamiento del personal;248,81;248.810,00
14.01;16201;Economatos y comedores;3.862,45;3.862.450,00
14.01;16204;Acción social;3.561,09;3.561.090,00
14.01;—;TOTAL GASTOS DE PERSONAL;1.818.795,40;1.818.795.400,00
14.01;20;Arrendamientos y cánones;560,20;560.200,00
14.01;202;Arrendamientos de edificios y otras construcciones;80,7;80.700,00
14.01;21;Reparaciones, mantenimiento y conservación;1.474,20;1.474.200,00
14.01;22;Material, suministros y otros;34.828,87;34.828.870,00
14.01;22502;Locales;74,50;74.500,00
14.01;22601;Atenciones protocolarias y representativas;23,40;23.400,00
14.01;22611;Gastos protocolarios y representativos derivados de actos institucionales;286,51;286.510,00
14.01;23;Indemnizaciones por razón del servicio;10.022,32;10.022.320,00
14.01;24;Gastos de publicaciones;350;350.000,00
14.01;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;47.235,59;47.235.590,00
14.01;44;A Sociedades, Entidades Públicas Empresariales, Fundaciones…;42;42.000,00
14.01;441–444;A Consorcios (Castillos y Museo Militar);42,00;42.000,00
14.01;48;A familias e instituciones sin fines de lucro;1.338,00;1.338.000,00
14.01;485;A organismos específicos, servicios, asociaciones, etc.;1.137,00;1.137.000,00
14.01;48501;"Al Instituto ""Gutiérrez Mellado""";152;152.000,00
14.01;48502;Al Instituto de Estudios Internacionales y Estratégicos;176,00;176.000,00
14.01;486;Pensiones a funcionarios, de carácter militar;200,00;200.000,00
14.01;489;Indemnizaciones por operaciones internacionales de paz;1;1.000,00
14.01;49;Al exterior;24,16;24.160,00
14.01;490;A organismos internacionales;24,16;24.160,00
14.01;—;TOTAL TRANSFERENCIAS CORRIENTES;1.404,16;1.404.160,00
14.01;6;INVERSIONES REALES;1.620,69;1.620.690,00
14.01;83;Concesión de préstamos fuera del Sector Público;2.833,58;2.833.580,00
14.01;831;Préstamos a largo plazo;2.833,58;2.833.580,00
14.01;—;TOTAL MINISTERIO Y SUBSECRETARÍA (14.01);1.871.889,42;1.871.889.420,00
;;;;
;;;;
;;;;
;;;;
