Económica;Explicación;14.113;Total (miles Euros);Total (euros)
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;548.249,87;548.249,87;548.249.870 €
22;Material, suministros y otros;999,78;999,78;999.780 €
25;Conciertos de asistencia sanitaria;547.250,09;547.250,09;547.250.090 €
4;TRANSFERENCIAS CORRIENTES;210.707,00;210.707,00;210.707.000 €
48;A familias e instituciones sin fines de lucro;210.707,00;210.707,00;210.707.000 €
;TOTAL GENERAL;758.956,87;758.956,87;758.956.870 €
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
