;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 14 MINISTERIO DE DEFENSA;
;Programa: 464A Investigación y estudios de las Fuerzas Armadas;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;14.01;14.03;14.101;;;Total;
1;GASTOS DE PERSONAL;5.793,08;;78.288,35;;;84.081,43;
10; Altos cargos;;;61,04;;;61,04;
12; Funcionarios;4.858,50;;44.880,20;;;49.738,70;
13; Laborales;568,71;;12.977,71;;;13.546,42;
15; Incentivos al rendimiento;;;3.992,23;;;3.992,23;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;365,87;;16.377,17;;;16.743,04;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;56.399,13;;;56.399,13;
20; Arrendamientos y cánones;;;437,37;;;437,37;
21; Reparaciones, mantenimiento y conservación;;;9.980,34;;;9.980,34;
22; Material, suministros y otros;;;45.246,42;;;45.246,42;
23; Indemnizaciones por razón del servicio;;;735,00;;;735,00;
3;GASTOS FINANCIEROS;;;310,00;;;310,00;
35; Intereses de demora y otros gastos financieros;;;310,00;;;310,00;
4;TRANSFERENCIAS CORRIENTES;;;1.668,78;;;1.668,78;
48; A familias e instituciones sin fines de lucro;;;1.317,65;;;1.317,65;
49; Al exterior;;;351,13;;;351,13;
6;INVERSIONES REALES;;30.540,00;58.852,14;;;89.392,14;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;;;4.558,79;;;4.558,79;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;;;1.650,00;;;1.650,00;
64; Gastos de inversiones de carácter inmaterial;;;45.528,35;;;45.528,35;
65; Inversiones militares en infraestructura y otros bienes;;3.526,76;3.750,00;;;7.276,76;
66; Inversiones militares asociadas al funcionamiento operativo de los servicios;;;500,00;;;500,00;
67; Gastos militares de inversiones de carácter inmaterial;;27.013,24;2.865,00;;;29.878,24;
8;ACTIVOS FINANCIEROS;;;250,00;;;250,00;
83; Concesión de préstamos fuera del Sector Público;;;250,00;;;250,00;
;TOTAL;5.793,08;30.540,00;195.768,40;;;232.101,48;
;;



