Orgánica;Económica;Explicación;Total (miles Euros);Total (euros)
14.01;12;Funcionarios;520.801,29;520.801.290,00
14.01;13;Laborales;84.908,08;84.908.080,00
14.01;16000;Seguridad Social;33.183,10;33.183.100,00
14.01;—;Total Gastos de Personal;638.892,47;638.892.470,00
14.01;21;Reparaciones, mantenimiento y conservación;4.203,65;4.203.650,00
14.01;—;Total Bienes y Servicios;4.203,65;4.203.650,00
14.01;—;Total Ministerio y Subsecretaría;643.096,12;643.096.120,00
14.02;21;Reparaciones, mantenimiento y conservación;5.504,36;5.504.360,00
14.02;6;Inversiones Reales;16.482,45;16.482.450,00
14.02;—;Total Cuartel General del EMAD;21.986,81;21.986.810,00
14.03;21;Reparaciones, mantenimiento y conservación;15.303,97;15.303.970,00
14.03;6;Inversiones Reales;20.957,26;20.957.260,00
14.03;—;Total Secretaría de Estado de Defensa;36.261,23;36.261.230,00
14.12;21;Reparaciones, mantenimiento y conservación;42.320,88;42.320.880,00
14.12;22;Material, suministros y otros;11.242,35;11.242.350,00
14.12;—;Total Bienes y Servicios;53.563,23;53.563.230,00
14.12;6;Inversiones Reales;32.850,24;32.850.240,00
14.12;—;Total Ejército de Tierra;86.413,47;86.413.470,00
14.17;21;Reparaciones, mantenimiento y conservación;17.934,14;17.934.140,00
14.17;22;Material, suministros y otros;12.209,21;12.209.210,00
14.17;—;Total Bienes y Servicios;30.143,35;30.143.350,00
14.17;6;Inversiones Reales;25.902,20;25.902.200,00
14.17;—;Total Armada;56.045,55;56.045.550,00
14.22;21;Reparaciones, mantenimiento y conservación;16.174,80;16.174.800,00
14.22;22;Material, suministros y otros;1.400,00;1.400.000,00
14.22;—;Total Bienes y Servicios;17.574,80;17.574.800,00
14.22;6;Inversiones Reales;30.432,85;30.432.850,00
14.22;—;Total Ejército del Aire y del Espacio;48.007,65;48.007.650,00
14.107;15;Incentivos al rendimiento;1.127,45;1.127.450,00
14.107;150;Productividad;479,63;479.630,00
14.107;151;Gratificaciones;15,71;15.710,00
14.107;153;Complemento de dedicación especial;632,11;632.110,00
14.107;16000;Seguridad Social;1.419,28;1.419.280,00
14.107;16200;Formación y perfeccionamiento del personal;60;60.000,00
14.107;16201;Economatos y comedores;100;100.000,00
14.107;16204;Acción social;100,3;100.300,00
14.107;—;Total Gastos de Personal;14.568,44;14.568.440,00
14.107;22502;Locales;7.500,00;7.500.000,00
14.107;22601;Atenciones protocolarias y representativas;2,34;2.340,00
14.107;—;Total Bienes y Servicios;34.940,25;34.940.250,00
14.107;352;Intereses de demora;60;60.000,00
14.107;359;Otros gastos financieros;10;10.000,00
14.107;—;Total Gastos Financieros;70;70.000,00
14.107;481;Indemnización por desalojo de vivienda;1.000,00;1.000.000,00
14.107;482;Compensación económica por carencia de vivienda;54.000,00;54.000.000,00
14.107;—;Total Transferencias Corrientes;55.000,00;55.000.000,00
14.107;6;Inversiones Reales;31.589,59;31.589.590,00
14.107;831;Préstamos a largo plazo;120;120.000,00
14.107;840;Depósitos;5;5.000,00
14.107;841;Fianzas;5;5.000,00
14.107;—;Total Activos Financieros;130;130.000,00
14.107;—;Total Instituto de Vivienda, Infraestructura y Equipamiento;136.298,28;136.298.280,00
—;—;TOTAL Apoyo Logístico;1.028.109,11;1.028.109.110,00
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
