Económica;Explicación;14.01;14.03 ;14.101;Total (miles Euros);Total (euros)
1;GASTOS DE PERSONAL;5.793,08;;78.288,35;84.081,43;84.081.430 €
10;Altos cargos;;;61,04;61,04;61.040 €
12;Funcionarios;4.858,50;;44.880,20;49.738,70;49.738.700 €
13;Laborales;568,71;;12.977,71;13.546,42;13.546.420 €
15;Incentivos al rendimiento;;;3.992,23;3.992,23;3.992.230 €
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;365,87;;16.377,17;16.743,04;16.743.040 €
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;56.399,13;56.399,13;56.399.130 €
20;Arrendamientos y cánones;;;437,37;437,37;437.370 €
21;Reparaciones, mantenimiento y conservación;;;9.980,34;9.980,34;9.980.340 €
22;Material, suministros y otros;;;45.246,42;45.246,42;45.246.420 €
23;Indemnizaciones por razón del servicio;;;735;735;735.000 €
3;GASTOS FINANCIEROS;;;310;310;310.000 €
35;Intereses de demora y otros gastos financieros;;;310;310;310.000 €
4;TRANSFERENCIAS CORRIENTES;;;1.668,78;1.668,78;1.668.780 €
48;A familias e instituciones sin fines de lucro;;;1.317,65;1.317,65;1.317.650 €
49;Al exterior;;;351,13;351,13;351.130 €
6;INVERSIONES REALES;;30.540,00;58.852,14;89.392,14;89.392.140 €
62;Inversión nueva asociada al funcionamiento operativo de los servicios;;;4.558,79;4.558,79;4.558.790 €
63;Inversión de reposición asociada al funcionamiento operativo de los servicios;;;1.650,00;1.650,00;1.650.000 €
64;Gastos de inversiones de carácter inmaterial;;;45.528,35;45.528,35;45.528.350 €
65;Inversiones militares en infraestructura y otros bienes;;3.526,76;3.750,00;7.276,76;7.276.760 €
66;Inversiones militares asociadas al funcionamiento operativo de los servicios;;;500;500;500.000 €
67;Gastos militares de inversiones de carácter inmaterial;;27.013,24;2.865,00;29.878,24;29.878.240 €
8;ACTIVOS FINANCIEROS;;;250;250;250.000 €
83;Concesión de préstamos fuera del Sector Público;;;250;250;250.000 €
;TOTAL GENERAL;5.793,08;30.540,00;195.768,40;232.101,48;232.101.480 €
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
