Orgánica;Económica;Explicación;Total (miles Euros);Total (euros)
14.01;;MINISTERIO Y SUBSECRETARÍA;;
;1;GASTOS DE PERSONAL;5.793,08;5.793.080 €
;12;Funcionarios;4.858,50;4.858.500 €
;13;Laborales;568,71;568.710 €
;16;Cuotas, prestaciones y gastos sociales;365,87;365.870 €
;16000;Seguridad Social;365,87;365.870 €
;;TOTAL MINISTERIO Y SUBSECRETARÍA;5.793,08;5.793.080 €
14.03;;SECRETARÍA DE ESTADO DE DEFENSA;;
;6;INVERSIONES REALES;30.540,00;30.540.000 €
;;TOTAL SECRETARÍA DE ESTADO DE DEFENSA;30.540,00;30.540.000 €
14.101;;INSTITUTO NACIONAL DE TÉCNICA AEROESPACIAL ESTEBAN TERRADAS;;
;1;GASTOS DE PERSONAL;78.288,35;78.288.350 €
;15;Incentivos al rendimiento;3.992,23;3.992.230 €
;150;Productividad;2.737,84;2.737.840 €
;151;Gratificaciones;267,67;267.670 €
;153;Complemento de dedicación especial;986,72;986.720 €
;16000;Seguridad Social;15.837,76;15.837.760 €
;16200;Formación y perfeccionamiento del personal;156,03;156.030 €
;16201;Economatos y comedores;177,06;177.060 €
;16204;Acción social;206,32;206.320 €
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;56.399,13;56.399.130 €
;22502;Locales;150;150.000 €
;22601;Atenciones protocolarias y representativas;2,34;2.340 €
;3;GASTOS FINANCIEROS;310;310.000 €
;35;Intereses de demora y otros gastos financieros;310;310.000 €
;352;Intereses de demora;300;300.000 €
;359;Otros gastos financieros;10;10.000 €
;4;TRANSFERENCIAS CORRIENTES;1.668,78;1.668.780 €
;48;A familias e instituciones sin fines de lucro;1.317,65;1.317.650 €
;480;A familias e instituciones sin fines de lucro;1.250,00;1.250.000 €
;485;A organismos específicos, servicios, etc;67,05;67.050 €
;48501;Al Real Aeroclub de Lugo;30;30.000 €
;486;Pensiones e indemnizaciones;0,6;600 €
;49;Al exterior;351,13;351.130 €
;490;A organismos internacionales;351,13;351.130 €
;6;INVERSIONES REALES;58.852,14;58.852.140 €
;8;ACTIVOS FINANCIEROS;250;250.000 €
;83;Concesión de préstamos fuera del Sector Público;250;250.000 €
;831;Préstamos a largo plazo;250;250.000 €
;;TOTAL INSTITUTO NACIONAL DE TÉCNICA AEROESPACIAL;195.768,40;195.768.400 €
;;TOTAL Investigación y estudios de las Fuerzas Armadas;232.101,48;232.101.480 €
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
