;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 14 MINISTERIO DE DEFENSA;
;Programa: 122N Apoyo Logístico;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;14.01;14.02;14.03;14.12;14.17;14.22;14.107;;Total;
1;GASTOS DE PERSONAL;638.892,47;;;;;;14.568,44;;653.460,91;
12; Funcionarios;520.801,29;;;;;;10.219,22;;531.020,51;
13; Laborales;84.908,08;;;;;;1.513,42;;86.421,50;
15; Incentivos al rendimiento;;;;;;;1.127,45;;1.127,45;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;33.183,10;;;;;;1.708,35;;34.891,45;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;4.203,65;5.504,36;15.303,97;53.563,23;30.143,35;17.574,80;34.940,25;;161.233,61;
21; Reparaciones, mantenimiento y conservación;4.203,65;5.504,36;15.303,97;42.320,88;17.934,14;16.174,80;8.981,24;;110.423,04;
22; Material, suministros y otros;;;;11.242,35;12.209,21;1.400,00;25.503,36;;50.354,92;
23; Indemnizaciones por razón del servicio;;;;;;;445,25;;445,25;
24; Gastos de publicaciones;;;;;;;10,40;;10,40;
3;GASTOS FINANCIEROS;;;;;;;70,00;;70,00;
35; Intereses de demora y otros gastos financieros;;;;;;;70,00;;70,00;
4;TRANSFERENCIAS CORRIENTES;;;;;;;55.000,00;;55.000,00;
48; A familias e instituciones sin fines de lucro;;;;;;;55.000,00;;55.000,00;
6;INVERSIONES REALES;;16.482,45;20.957,26;32.850,24;25.902,20;30.432,85;31.589,59;;158.214,59;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;;;;;;;263,00;;263,00;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;;;;;;;31.161,59;;31.161,59;
64; Gastos de inversiones de carácter inmaterial;;;;;;;165,00;;165,00;
66; Inversiones militares asociadas al funcionamiento operativo de los servicios;;16.482,45;20.957,26;32.850,24;25.902,20;30.432,85;;;126.625,00;
8;ACTIVOS FINANCIEROS;;;;;;;130,00;;130,00;
83; Concesión de préstamos fuera del Sector Público;;;;;;;120,00;;120,00;
84; Constitución de depósitos y fianzas;;;;;;;10,00;;10,00;
;TOTAL;643.096,12;21.986,81;36.261,23;86.413,47;56.045,55;48.007,65;136.298,28;;1.028.109,11;
;;



