Orgánica;Económica;Explicación;Total (miles Euros);Total (euros)
14.113;;INSTITUTO SOCIAL DE LAS FUERZAS ARMADAS;;
;1;GASTOS DE PERSONAL;;
;15;Incentivos al rendimiento;1.195,27;1.195.270 €
;150;Productividad;255,04;255.040 €
;151;Gratificaciones;82,2;82.200 €
;153;Complemento de dedicación especial;858,03;858.030 €
;16000;Seguridad Social;1.663,58;1.663.580 €
;16200;Formación y perfeccionamiento del personal;12,96;12.960 €
;16204;Acción social;60,68;60.680 €
;;TOTAL GASTOS DE PERSONAL;21.927,37;21.927.370 €
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;
;202;Arrendamientos de edificios y otras construcciones;300,62;300.620 €
;22502;Locales;464,25;464.250 €
;22601;Atenciones protocolarias y representativas;2,34;2.340 €
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;9.357,75;9.357.750 €
;3;GASTOS FINANCIEROS;;
;31;De préstamos en euros;3,01;3.010 €
;310;Intereses;3,01;3.010 €
;;TOTAL GASTOS FINANCIEROS;3,01;3.010 €
;4;TRANSFERENCIAS CORRIENTES;;
;48;A familias e instituciones sin fines de lucro;46.055,55;46.055.550 €
;480;Subsidios e indemnizaciones;10.149,23;10.149.230 €
;481;Protección a la familia;28.653,91;28.653.910 €
;482;Servicios Sociales;5.133,68;5.133.680 €
;483;Asistencia Social;1.172,20;1.172.200 €
;486;Prestaciones económicas de las Mutualidades integradas;946,53;946.530 €
;;TOTAL TRANSFERENCIAS CORRIENTES;46.055,55;46.055.550 €
;6;INVERSIONES REALES;1.000,33;1.000.330 €
;8;ACTIVOS FINANCIEROS;;
;83;Concesión de préstamos fuera del Sector Público;182,18;182.180 €
;830;Préstamos a corto plazo;55,7;55.700 €
;831;Préstamos a largo plazo;126,48;126.480 €
;84;Constitución de depósitos y fianzas;16,02;16.020 €
;840;Depósitos;4;4.000 €
;841;Fianzas;12,02;12.020 €
;;TOTAL ACTIVOS FINANCIEROS;198,2;198.200 €
;9;PASIVOS FINANCIEROS;;
;94;Devolución de depósitos y fianzas;2;2.000 €
;940;Devolución de depósitos;1,5;1.500 €
;941;Devolución de fianzas;0,5;500 €
;;TOTAL PASIVOS FINANCIEROS;2;2.000 €
;;TOTAL INSTITUTO SOCIAL DE LAS FUERZAS ARMADAS;78.544,21;78.544.210 €
;;TOTAL Prestaciones económicas del Mutualismo Administrativo;78.544,21;78.544.210 €
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
