Económica;Explicación;14.113;Total (miles Euros);Total (euros)
1;GASTOS DE PERSONAL;21.927,37;21.927,37;21.927.370 €
12;Funcionarios;15.404,38;15.404,38;15.404.380 €
13;Laborales;3.590,50;3.590,50;3.590.500 €
15;Incentivos al rendimiento;1.195,27;1.195,27;1.195.270 €
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;1.737,22;1.737,22;1.737.220 €
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;9.357,75;9.357,75;9.357.750 €
20;Arrendamientos y cánones;307,67;307,67;307.670 €
21;Reparaciones, mantenimiento y conservación;906,79;906,79;906.790 €
22;Material, suministros y otros;8.074,03;8.074,03;8.074.030 €
23;Indemnizaciones por razón del servicio;62,41;62,41;62.410 €
24;Gastos de publicaciones;6,85;6,85;6.850 €
3;GASTOS FINANCIEROS;3,01;3,01;3.010 €
31;De préstamos en euros;3,01;3,01;3.010 €
4;TRANSFERENCIAS CORRIENTES;46.055,55;46.055,55;46.055.550 €
48;A familias e instituciones sin fines de lucro;46.055,55;46.055,55;46.055.550 €
6;INVERSIONES REALES;1.000,33;1.000,33;1.000.330 €
62;Inversión nueva asociada al funcionamiento operativo de los servicios;275,28;275,28;275.280 €
63;Inversión de reposición asociada al funcionamiento operativo de los servicios;725,05;725,05;725.050 €
8;ACTIVOS FINANCIEROS;198,2;198,2;198.200 €
83;Concesión de préstamos fuera del Sector Público;182,18;182,18;182.180 €
84;Constitución de depósitos y fianzas;16,02;16,02;16.020 €
9;PASIVOS FINANCIEROS;2;2;2.000 €
94;Devolución de depósitos y fianzas;2;2;2.000 €
;TOTAL GENERAL;78.544,21;78.544,21;78.544.210 €
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
