;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico por programas del presupuesto de gastos. Capítulos 1 a 9;
;;
;Sección: 29 MINISTERIO DE DERECHOS SOCIALES, CONSUMO Y AGENDA 2030;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Clasif. por programas;Explicación;ESTADO;OO.AA.;Total;
231F; Otros servicios sociales del Estado;450.953,45;10.078,12;461.031,57;
231G; Atención a la infancia y a las familias;3.112,98;;3.112,98;
232F; Derechos de los animales;7.481,71;;7.481,71;
239N; Dirección y Servicios Generales de Derechos Sociales y Agenda 2030;29.585,96;;29.585,96;
313C; Seguridad alimentaria y nutrición;;19.544,39;19.544,39;
492O; Protección y promoción de los derechos de los consumidores y usuarios;17.559,78;;17.559,78;
496M; Regulación del juego;12.364,60;;12.364,60;
498M; Dirección y Servicios Generales de Consumo;3.934,24;;3.934,24;
921Y; Agenda 2030;24.644,97;;24.644,97;
;TOTAL CONSOLIDADO;549.637,69;29.622,51;579.260,20;
000X; Transferencias y libramientos internos;3.691.988,95;;3.691.988,95;
;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;3.691.988,95;;3.691.988,95;
;TOTAL;4.241.626,64;29.622,51;4.271.249,15;
;;



