Orgánica;Económica;Explicación;Total (miles euros);Total (euros)
18.01;12;Funcionarios;17.333,67;17.333.670,00
18.01;13;Laborales;1.885,70;1.885.700,00
18.01;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;2.089,60;2.089.600,00
—;—;TOTAL GASTOS DE PERSONAL – MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;21.308,97;21.308.970,00
18.01;48;Fomento de la participación sindical en centros docentes públicos;91,64;91.640,00
—;—;TOTAL MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;21.400,61;21.400.610,00
18.03;48;Premios Aulas por la Igualdad;20,00;20.000,00
—;—;TOTAL SECRETARÍA DE ESTADO DE EDUCACIÓN;20;20.000,00
18.04;12;Funcionarios;1.604,59;1.604.590,00
18.04;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;89;89.020,00
18.04;16000;Seguridad Social;59,59;59.590,00
18.04;16200;Formación y perfeccionamiento del personal;29,43;29.430,00
—;—;TOTAL GASTOS DE PERSONAL – DG Evaluación y Cooperación Territorial;1.693,61;1.693.610,00
18.04;21–23;Reparaciones, suministros, indemnizaciones;7.396,11;7.396.110,00
18.04;44–49;Transferencias corrientes (RTVE, Red.es, CCAA, ONGs, Internacional);51.286,54;51.286.540,00
18.04;6;Inversiones reales;2.582,30;2.582.300,00
18.04;75;Transferencias de capital a Comunidades Autónomas (Código Escuela 4.0, Canarias);301.000,00;301.000.000,00
—;—;TOTAL DIRECCIÓN GENERAL DE EVALUACIÓN Y COOPERACIÓN TERRITORIAL;363.958,56;363.958.560,00
18.05;12–16;Gastos de personal;586,71;586.710,00
18.05;22–23;Gastos corrientes;2.792,11;2.792.110,00
18.05;46–48;Transferencias corrientes (Proyecto MENTOR, nuevas tecnologías);787,67;787.670,00
18.05;6;Inversiones reales;200;200.000,00
—;—;TOTAL SECRETARÍA GENERAL DE FORMACIÓN PROFESIONAL;4.366,49;4.366.490,00
18.08;21–22;Reparaciones y suministros;609,17;609.170,00
18.08;48–49;Transferencias corrientes (formación, becas, asociaciones, internacional);6.268,61;6.268.610,00
18.08;6;Inversiones reales;83;83.000,00
—;—;TOTAL DIRECCIÓN GENERAL DE PLANIFICACIÓN Y GESTIÓN EDUCATIVA;6.960,78;6.960.780,00
—;—;TOTAL PROGRAMA 322L – Inversiones en centros educativos y otras actividades educativas;396.706,44;396.706.440,00
